route_id,avg_speed,total_trips,avg_travel_time
Q64,3.85,16655,1.04
M66,4.78,3491,6.81
M50,4.78,6167,6.65
Q27,4.82,5382,2.38
B25,5.1,2567,8.8
B48,5.38,1600,2.58
M42,5.64,18317,6.31
X64,5.7,510,12.95
M8,5.75,5771,4.27
M125,5.76,30208,5.12
B35,5.78,12896,5.55
BX12,5.9,22192,4.02
B43,5.94,2373,2.51
BX25,5.94,2314,4.68
B12,6.01,18768,7.3
BX26,6.04,2425,4.6
B67,6.1,1609,7.01
X68,6.11,830,12.16
M4,6.16,16178,4.78
Q95,6.16,4184,5.94
BX40,6.27,17524,8.25
QM40,6.29,915,8.33
B47,6.37,10298,4.15
B63,6.39,14426,12.54
SIM4,6.4,3013,8.62
B38,6.43,23341,8.18
BX32,6.47,1994,8.23
M5,6.55,12804,9.47
Q72,6.55,16439,6.24
M3,6.56,586,9.07
M1,6.57,6382,14.79
B60,6.6,11485,7.72
Q34,6.63,4724,20.27
QM42,6.7,1050,11.97
B26,6.73,11604,7.67
M100,6.75,4786,11.52
M7,6.79,10503,8.36
QM34,6.79,2915,10.25
M96,6.82,41632,5.67
B8,6.83,4350,17.8
B20,6.85,10822,6.8
BX4,6.86,8640,7.41
Q58,6.88,42825,7.14
B52,6.94,42903,9.17
B45,6.97,1893,8.72
BX12+,6.98,17473,6.31
M11,7.0,9382,3.97
B62,7.02,11174,9.64
M23+,7.05,14833,10.75
Q4,7.11,658,4.62
Q101,7.16,1579,11.75
BX22,7.18,4481,6.92
SIM1,7.36,4110,7.98
BX42,7.39,26766,9.84
Q60,7.44,11556,7.52
Q100,7.47,8879,3.59
Q25,7.47,15623,18.64
B13,7.52,7338,6.62
M12,7.52,804,7.95
B17,7.55,4360,2.44
BX35,7.55,13572,2.51
BX9,7.56,18735,11.17
B36,7.57,3213,9.48
QM24,7.58,615,15.2
BX3,7.58,32308,5.2
B4,7.63,6015,11.03
Q56,7.65,8633,8.98
Q54,7.69,23010,7.5
BX33,7.73,10289,3.92
Q42,7.75,1447,3.48
B82,7.77,13968,12.25
BX15,7.82,4756,5.33
Q5,7.86,20815,7.39
SIM1C,7.9,13794,8.31
BX39,7.91,10919,15.06
M55,7.94,6286,4.78
BX5,7.95,13054,11.73
BX41,7.95,10817,6.89
Q2,8.01,2576,3.56
B7,8.04,14210,7.28
B15,8.04,3335,9.8
B103,8.1,5849,14.63
QM25,8.11,599,14.19
B68,8.12,1951,11.8
B84,8.16,3031,5.46
B6,8.17,22892,7.12
BX10,8.17,11788,9.41
BXM18,8.22,571,19.83
BXM9,8.27,1313,7.02
B24,8.28,1074,2.49
Q111,8.34,4368,14.39
Q6,8.37,17382,16.79
Q38,8.4,1695,7.25
Q85,8.43,903,3.65
Q10,8.47,4489,10.57
Q83,8.47,3629,4.24
Q84,8.51,893,1.81
BX36,8.53,36520,9.47
BX90,8.53,1429,45.69
M2,8.56,700,7.04
BX31,8.58,2554,7.87
Q114,8.6,3294,9.45
Q113,8.61,2447,11.28
BX16,8.64,2193,8.55
B49,8.72,16578,7.66
Q88,8.72,15383,7.7
X63,8.73,2071,15.22
B46+,8.84,16873,35.24
BM2,8.86,2346,10.76
BXM4,8.89,2678,14.5
Q8,8.89,27917,9.05
B65,8.89,8616,3.16
BX27,8.92,12451,2.61
SIM32,9.02,978,5.67
QM18,9.04,836,10.3
BXM1,9.09,7544,6.31
SIM4C,9.18,4651,20.72
B3,9.21,13903,9.15
Q7,9.24,9598,11.63
Q47,9.36,15694,4.72
Q77,9.38,2075,5.59
SIM3C,9.39,8214,13.13
Q19,9.43,4744,11.08
B46,9.48,23350,6.51
Q55,9.49,20935,6.27
S74,9.56,1777,8.96
Q1,9.66,1159,6.88
Q48,9.97,7169,9.95
BX8,9.99,3737,7.21
S76,9.99,1543,11.9
Q36,10.05,23725,5.73
BX24,10.05,4955,8.06
Q15A,10.09,9545,6.39
Q41,10.11,8778,13.74
Q15,10.2,4870,8.25
M106,10.24,4323,3.68
BXM10,10.26,644,13.08
BXM3,10.44,1277,17.04
QM7,10.6,1533,4.34
Q22,10.66,14992,14.54
B16,10.68,1755,8.82
BX6,10.8,1962,13.82
SIM33C,10.91,5582,20.06
Q46,10.93,5567,12.69
Q50,10.95,1650,7.74
S91,11.17,1976,6.4
Q21,11.27,8092,8.48
SIM34,11.34,2237,7.65
S61,11.73,12692,6.8
SIM33,11.8,1222,17.5
Q52+,11.86,6448,15.45
BXM7,12.01,12092,4.34
Q70+,12.29,3602,22.09
QM1,12.32,735,10.37
QM35,12.33,1197,8.96
S44,12.36,1962,6.3
B64,12.47,7609,7.25
QM5,12.51,6487,12.85
Q11,12.64,6996,6.94
S66,12.79,3248,7.12
QM17,12.81,2410,17.15
SIM8,12.85,1565,6.47
QM15,12.88,3497,12.63
Q44+,13.02,2682,28.53
M60+,13.05,3440,28.82
QM6,13.09,2714,9.9
SIM3,13.74,3917,17.95
S79+,13.93,26912,8.31
S51,14.02,10205,5.6
S89,14.13,877,6.27
S56,14.81,1761,4.82
S57,14.85,1598,7.47
S59,15.14,2687,7.23
Q3,15.4,13702,7.97
S52,15.44,11016,6.06
S55,15.52,4151,6.56
S78,16.16,17503,11.64
BXM2,17.88,3943,23.48
Q35,18.19,2116,5.99
SIM10,18.23,6098,18.42
QM16,18.59,1049,24.97
SIM31,19.06,2316,20.99
S40,19.49,1394,10.65
BXM11,20.06,4279,25.92
SIM11,23.77,1659,25.65
SIM6,29.02,2272,30.96
