product_a,product_b,support,confidence_ab,confidence_ba,lift,pair_count
GREEN REGENCY TEACUP AND SAUCER,PINK REGENCY TEACUP AND SAUCER,0.037,0.6656,0.8364,15.03,404
PINK REGENCY TEACUP AND SAUCER,ROSES REGENCY TEACUP AND SAUCER,0.0351,0.793,0.5768,13.03,383
GREEN REGENCY TEACUP AND SAUCER,ROSES REGENCY TEACUP AND SAUCER,0.0436,0.7842,0.7169,12.88,476
LARGE WHITE HEART OF WICKER,SMALL WHITE HEART OF WICKER,0.0254,0.563,0.4946,10.97,277
GARDENERS KNEELING PAD CUP OF TEA,GARDENERS KNEELING PAD KEEP CALM,0.042,0.7387,0.6214,10.93,458
CHARLOTTE BAG SUKI DESIGN,RED RETROSPOT CHARLOTTE BAG,0.0244,0.5418,0.4433,9.85,266
ALARM CLOCK BAKELIKE GREEN,ALARM CLOCK BAKELIKE RED,0.0416,0.6726,0.6086,9.84,454
CHOCOLATE HOT WATER BOTTLE,HOT WATER BOTTLE I AM SO POORLY,0.0252,0.425,0.5789,9.76,275
ALARM CLOCK BAKELIKE PINK,ALARM CLOCK BAKELIKE RED,0.0293,0.6571,0.429,9.61,320
ALARM CLOCK BAKELIKE GREEN,ALARM CLOCK BAKELIKE PINK,0.0253,0.4089,0.5667,9.16,276
COOK WITH WINE METAL SIGN,HAND OVER THE CHOCOLATE   SIGN,0.0236,0.4707,0.4541,9.07,257
CHOCOLATE HOT WATER BOTTLE,HOT WATER BOTTLE TEA AND SYMPATHY,0.023,0.3879,0.5197,8.76,251
HOT WATER BOTTLE I AM SO POORLY,HOT WATER BOTTLE TEA AND SYMPATHY,0.0167,0.3832,0.3768,8.65,182
HOME BUILDING BLOCK WORD,LOVE BUILDING BLOCK WORD,0.024,0.4094,0.5029,8.57,262
COOK WITH WINE METAL SIGN,GIN + TONIC DIET METAL SIGN,0.0242,0.4835,0.4265,8.52,264
60 TEATIME FAIRY CAKE CASES,PACK OF 60 DINOSAUR CAKE CASES,0.0188,0.3516,0.4418,8.27,205
JUMBO BAG VINTAGE DOILY,LUNCH BAG VINTAGE DOILY,0.0184,0.3641,0.4179,8.26,201
PAPER CHAIN KIT 50'S CHRISTMAS,PAPER CHAIN KIT VINTAGE CHRISTMAS,0.0401,0.4905,0.6692,8.19,437
60 TEATIME FAIRY CAKE CASES,PACK OF 60 PINK PAISLEY CAKE CASES,0.023,0.4305,0.4335,8.11,251
COOK WITH WINE METAL SIGN,PLEASE ONE PERSON METAL SIGN,0.0228,0.456,0.3921,7.83,249
WOODEN FRAME ANTIQUE WHITE,WOODEN PICTURE FRAME WHITE FINISH,0.042,0.601,0.5446,7.8,458
RETROSPOT HEART HOT WATER BOTTLE,SCOTTIE DOG HOT WATER BOTTLE,0.0188,0.428,0.3405,7.76,205
LUNCH BAG ALPHABET DESIGN,LUNCH BAG VINTAGE LEAF DESIGN,0.0208,0.3847,0.4135,7.65,227
GIN + TONIC DIET METAL SIGN,HAND OVER THE CHOCOLATE   SIGN,0.0225,0.3958,0.4329,7.63,245
LUNCH BAG DOLLY GIRL DESIGN,LUNCH BAG SPACEBOY DESIGN,0.0287,0.6066,0.361,7.63,313
HOT WATER BOTTLE KEEP CALM,HOT WATER BOTTLE TEA AND SYMPATHY,0.0206,0.3373,0.4658,7.62,225
LUNCH BAG APPLE DESIGN,LUNCH BAG VINTAGE LEAF DESIGN,0.0256,0.378,0.5082,7.51,279
PACK OF 60 DINOSAUR CAKE CASES,PACK OF 60 PINK PAISLEY CAKE CASES,0.0169,0.3966,0.3178,7.47,184
HAND OVER THE CHOCOLATE   SIGN,PLEASE ONE PERSON METAL SIGN,0.0211,0.4064,0.3622,6.98,230
LUNCH BAG ALPHABET DESIGN,LUNCH BAG APPLE DESIGN,0.0251,0.4644,0.3713,6.86,274
LUNCH BAG DOLLY GIRL DESIGN,LUNCH BAG WOODLAND,0.0195,0.4128,0.3189,6.74,213
PACK OF 60 DINOSAUR CAKE CASES,PACK OF 72 RETROSPOT CAKE CASES,0.0214,0.5022,0.2814,6.62,233
JUMBO BAG APPLES,JUMBO BAG VINTAGE LEAF,0.0237,0.4184,0.3732,6.58,259
60 TEATIME FAIRY CAKE CASES,PACK OF 72 RETROSPOT CAKE CASES,0.0266,0.4974,0.3502,6.55,290
PACK OF 60 PINK PAISLEY CAKE CASES,PACK OF 72 RETROSPOT CAKE CASES,0.0264,0.4974,0.3478,6.55,288
LUNCH BAG SPACEBOY DESIGN,LUNCH BAG WOODLAND,0.0317,0.3991,0.518,6.52,346
JUMBO BAG ALPHABET,JUMBO BAG APPLES,0.0233,0.3692,0.4103,6.51,254
CHOCOLATE HOT WATER BOTTLE,SCOTTIE DOG HOT WATER BOTTLE,0.0211,0.3555,0.3821,6.44,230
JUMBO BAG PINK VINTAGE PAISLEY,JUMBO SHOPPER VINTAGE RED PAISLEY,0.0219,0.4353,0.3225,6.41,239
GIN + TONIC DIET METAL SIGN,PLEASE ONE PERSON METAL SIGN,0.0211,0.3716,0.3622,6.38,230
HOT WATER BOTTLE I AM SO POORLY,HOT WATER BOTTLE KEEP CALM,0.0169,0.3874,0.2759,6.34,184
JUMBO BAG PINK POLKADOT,JUMBO BAG STRAWBERRY,0.026,0.3559,0.4625,6.32,284
LUNCH BAG VINTAGE DOILY,LUNCH BAG VINTAGE LEAF DESIGN,0.014,0.3181,0.2787,6.32,153
DOORMAT RED RETROSPOT,DOORMAT UNION FLAG,0.0116,0.2593,0.2812,6.31,126
HEART OF WICKER LARGE,HEART OF WICKER SMALL,0.0365,0.5142,0.4452,6.27,398
JUMBO BAG PINK VINTAGE PAISLEY,JUMBO BAG STRAWBERRY,0.0176,0.3497,0.3127,6.21,192
CHOCOLATE HOT WATER BOTTLE,HOT WATER BOTTLE KEEP CALM,0.0221,0.3725,0.3613,6.09,241
JUMBO BAG APPLES,LUNCH BAG APPLE DESIGN,0.0234,0.412,0.3455,6.09,255
GREY HEART HOT WATER BOTTLE,RETROSPOT HEART HOT WATER BOTTLE,0.0114,0.2633,0.2589,6.0,124
LUNCH BAG DOLLY GIRL DESIGN,LUNCH BAG SUKI DESIGN,0.0216,0.4574,0.284,6.0,236
HOT WATER BOTTLE I AM SO POORLY,SCOTTIE DOG HOT WATER BOTTLE,0.0144,0.3305,0.2608,5.99,157
LUNCH BAG CARS BLUE,LUNCH BAG WOODLAND,0.0292,0.3642,0.4775,5.95,319
JUMBO BAG VINTAGE DOILY,JUMBO BAG VINTAGE LEAF,0.0192,0.3786,0.3012,5.95,209
JUMBO  BAG BAROQUE BLACK WHITE,JUMBO STORAGE BAG SUKI,0.0218,0.3889,0.3333,5.94,238
JUMBO BAG PINK POLKADOT,JUMBO BAG PINK VINTAGE PAISLEY,0.0218,0.2982,0.4335,5.93,238
CHOCOLATE HOT WATER BOTTLE,RETROSPOT HEART HOT WATER BOTTLE,0.0154,0.2597,0.3507,5.91,168
LUNCH BAG CARS BLUE,LUNCH BAG PINK POLKADOT,0.0363,0.4521,0.4703,5.86,396
LUNCH BAG APPLE DESIGN,LUNCH BAG SUKI DESIGN,0.0302,0.4458,0.3959,5.85,329
LUNCH BAG  BLACK SKULL.,LUNCH BAG PINK POLKADOT,0.0405,0.4506,0.5249,5.84,442
JUMBO  BAG BAROQUE BLACK WHITE,JUMBO BAG STRAWBERRY,0.0183,0.3268,0.3257,5.81,200
LUNCH BAG ALPHABET DESIGN,LUNCH BAG DOLLY GIRL DESIGN,0.0149,0.2746,0.314,5.8,162
JUMBO BAG ALPHABET,LUNCH BAG ALPHABET DESIGN,0.0194,0.3081,0.3593,5.7,212
LUNCH BAG SUKI DESIGN,LUNCH BAG VINTAGE LEAF DESIGN,0.0218,0.2864,0.4335,5.69,238
GREY HEART HOT WATER BOTTLE,SCOTTIE DOG HOT WATER BOTTLE,0.0136,0.3142,0.2458,5.69,148
HOT WATER BOTTLE I AM SO POORLY,RETROSPOT HEART HOT WATER BOTTLE,0.0108,0.2484,0.2463,5.66,118
