Facility ID,Facility Name,State,avg_err,max_err,conditions_at_risk,conditions_measured,total_discharges,total_readmissions,err_score,breadth_score,volume_score,risk_score,risk_tier
50030,OROVILLE HOSPITAL,CA,1.24836,1.4255,5,5,1268.0,384.0,10.0,8.33,3.15,8.13,High Risk
40027,BAXTER HEALTH,AR,1.0998333333333334,1.2015,6,6,1613.0,248.0,5.64,10.0,4.01,6.62,Medium Risk
10033,UNIVERSITY OF ALABAMA HOSPITAL,AL,1.15155,1.3796,4,6,1803.0,341.0,7.16,6.67,4.49,6.48,Medium Risk
30087,HONORHEALTH SCOTTSDALE SHEA MEDICAL CENTER,AZ,1.0641333333333334,1.1982,6,6,1987.0,337.0,4.59,10.0,4.94,6.28,Medium Risk
50002,ST ROSE HOSPITAL,CA,1.11552,1.2013,5,5,408.0,97.0,6.1,8.33,1.01,5.75,Medium Risk
50022,RIVERSIDE COMMUNITY HOSPITAL,CA,1.05875,1.0913,6,6,981.0,215.0,4.43,10.0,2.44,5.7,Medium Risk
20017,ALASKA REGIONAL HOSPITAL,AK,1.0864333333333334,1.1659,5,6,1155.0,167.0,5.24,8.33,2.87,5.69,Medium Risk
50093,SAINT AGNES MEDICAL CENTER,CA,1.0688666666666666,1.1768,4,6,2585.0,526.0,4.73,6.67,6.43,5.65,Medium Risk
50039,ENLOE HEALTH,CA,1.0047833333333334,1.1497,4,6,4020.0,687.0,2.84,6.67,10.0,5.42,Medium Risk
30092,HONORHEALTH DEER VALLEY MEDICAL CENTER,AZ,1.0729,1.2114,5,6,981.0,169.0,4.84,8.33,2.44,5.41,Medium Risk
40118,"BAPTIST MEMORIAL HOSPITAL JONESBORO, INC.",AR,1.0475999999999999,1.1125,5,5,1660.0,300.0,4.1,8.33,4.13,5.38,Medium Risk
10092,DCH REGIONAL MEDICAL CENTER,AL,1.080475,1.1728,4,4,1601.0,311.0,5.07,6.67,3.98,5.33,Medium Risk
