year_month,total_kwh
2006.0-12.0,696.89
2007.0-1.0,1150.2
2007.0-10.0,821.27
2007.0-11.0,931.98
2007.0-12.0,1210.07
2007.0-2.0,941.48
2007.0-3.0,981.04
2007.0-4.0,586.36
2007.0-5.0,733.48
2007.0-6.0,594.71
2007.0-7.0,495.06
2007.0-8.0,568.27
2007.0-9.0,697.88
2008.0-1.0,1086.16
2008.0-10.0,844.94
2008.0-11.0,998.48
2008.0-12.0,947.23
2008.0-2.0,822.18
2008.0-3.0,926.51
2008.0-4.0,803.5
2008.0-5.0,762.03
2008.0-6.0,715.73
2008.0-7.0,591.29
2008.0-8.0,205.7
2008.0-9.0,711.13
2009.0-1.0,1049.17
2009.0-10.0,851.48
2009.0-11.0,917.79
2009.0-12.0,1015.08
2009.0-2.0,837.03
2009.0-3.0,912.65
2009.0-4.0,821.26
2009.0-5.0,753.5
2009.0-6.0,559.03
2009.0-7.0,459.84
2009.0-8.0,484.61
2009.0-9.0,710.48
2010.0-1.0,989.66
2010.0-10.0,865.55
2010.0-11.0,743.31
2010.0-2.0,924.53
2010.0-3.0,802.6
2010.0-4.0,739.64
2010.0-5.0,814.87
2010.0-6.0,698.09
2010.0-7.0,536.46
2010.0-8.0,368.39
2010.0-9.0,605.16
