sr_type,total_requests,breach_rate,avg_days,total_excess_days
Street Light On During Day Complaint,203,100.0,278.3,54469.9
Buildings - Plumbing Violation,285,98.9,104.5,26937.3
Sidewalk Inspection Request,356,98.9,186.6,62909.2
Tree Planting Request,213,97.7,179.5,36139.2
Tree Removal Inspection,694,96.4,132.6,85196.7
Alley Light Out Complaint,2758,92.0,101.8,254235.0
Alley Pothole Complaint,1300,88.5,87.7,101822.9
Blue Recycling Cart,460,77.4,47.2,17698.9
Sewer Cleaning Inspection Request,345,77.4,104.1,32993.0
Tree Trim Request (NO LONGER BEING ACCEPTED),1926,74.8,86.9,152547.8
Pothole in Street Complaint,10385,74.8,48.2,411589.6
Building Violation,1113,71.8,34.1,28563.7
Sign Repair Request - All Other Signs,533,56.5,84.5,41924.3
Garbage Cart Maintenance,1040,53.8,18.7,11591.5
Fly Dumping Complaint,245,50.2,23.9,4182.8
