ward,breach_rate,requests
37.0,65.8,789
45.0,62.4,1223
22.0,62.2,870
36.0,61.2,898
29.0,61.0,901
39.0,60.9,1324
38.0,60.3,1046
40.0,59.1,633
27.0,57.5,1167
24.0,56.9,791
26.0,56.9,650
17.0,56.6,694
33.0,56.4,737
16.0,56.0,723
31.0,55.8,800
35.0,55.0,867
2.0,54.3,543
1.0,54.3,1030
50.0,53.5,585
18.0,53.2,822
32.0,53.2,980
4.0,52.8,477
46.0,52.3,371
10.0,52.3,1303
48.0,51.9,432
9.0,51.8,1140
25.0,51.4,956
34.0,51.2,1242
30.0,50.6,832
21.0,50.3,1142
44.0,50.0,378
8.0,49.2,1196
6.0,48.9,1087
19.0,48.9,1045
47.0,48.9,742
20.0,48.6,737
7.0,48.3,758
3.0,45.7,536
13.0,45.3,918
49.0,45.2,336
5.0,44.0,584
23.0,43.7,831
14.0,43.6,665
11.0,43.4,620
12.0,41.3,820
43.0,38.8,528
42.0,34.7,450
15.0,33.0,524
41.0,30.3,2435
28.0,19.4,3279
