sr_number,sr_type,owner_department,created_date,closed_date,days_to_close,sla_days,excess_days,ward
SR25-00218088,Sign Repair Request - All Other Signs,CDOT - Department of Transportation,2025-02-10 12:00:44,2026-02-10 08:28:37,364.85269675925923,10.0,354.85269675925923,49.0
SR20-03863158,Street Light On During Day Complaint,CDOT - Department of Transportation,2020-04-07 14:56:32,2021-04-07 09:50:09,364.7872337962963,10.0,354.7872337962963,28.0
SR19-01268788,Alley Light Out Complaint,CDOT - Department of Transportation,2019-04-03 22:19:44,2020-04-02 15:42:30,364.72414351851853,10.0,354.72414351851853,33.0
SR25-00229900,Street Light Out Complaint,CDOT - Department of Transportation,2025-02-12 09:25:05,2026-02-12 01:54:05,364.68680555555557,10.0,354.68680555555557,4.0
SR19-02769985,Tree Trim Request (NO LONGER BEING ACCEPTED),Streets and Sanitation,2019-10-21 00:25:24,2020-10-19 14:31:30,364.58756944444445,10.0,354.58756944444445,47.0
SR20-05073255,Water On Street Complaint,DWM - Department of Water Management,2020-09-16 07:51:24,2021-09-15 13:21:45,364.2294097222222,10.0,354.2294097222222,17.0
SR22-01428564,Sidewalk Inspection Request,CDOT - Department of Transportation,2022-08-12 08:43:42,2023-08-11 12:58:21,364.1768402777778,10.0,354.1768402777778,24.0
SR20-04325536,Tree Trim Request (NO LONGER BEING ACCEPTED),Streets and Sanitation,2020-06-11 09:01:32,2021-06-10 12:53:10,364.16085648148146,10.0,354.16085648148146,50.0
SR20-05594888,Tree Trim Request (NO LONGER BEING ACCEPTED),Streets and Sanitation,2020-12-08 14:41:43,2021-12-07 11:24:55,363.86333333333334,10.0,353.86333333333334,21.0
SR19-01847970,Tree Removal Inspection,Streets and Sanitation,2019-07-02 17:35:17,2020-06-30 13:16:22,363.82019675925926,10.0,353.82019675925926,38.0
SR20-05212851,Restaurant Complaint,Health,2020-10-05 22:00:34,2021-10-04 09:30:24,363.47905092592595,10.0,353.47905092592595,17.0
SR25-00206044,Sign Repair Request - All Other Signs,CDOT - Department of Transportation,2025-02-07 13:21:59,2026-02-05 19:29:31,363.2552314814815,10.0,353.2552314814815,13.0
SR19-02106512,Alley Light Out Complaint,CDOT - Department of Transportation,2019-08-02 14:25:59,2020-07-30 19:24:27,363.2072685185185,10.0,353.2072685185185,17.0
SR19-00085221,Tree Planting Request,Streets and Sanitation,2019-01-18 11:10:50,2020-01-16 13:36:14,363.1009722222222,10.0,353.1009722222222,39.0
SR19-01426942,Tree Planting Request,Streets and Sanitation,2019-05-03 08:39:05,2020-04-30 09:42:50,363.0442708333333,10.0,353.0442708333333,39.0
SR19-02634522,Tree Trim Request (NO LONGER BEING ACCEPTED),Streets and Sanitation,2019-10-02 20:43:43,2020-09-29 11:53:34,362.63184027777777,10.0,352.63184027777777,41.0
SR19-02112059,Alley Light Out Complaint,CDOT - Department of Transportation,2019-08-03 12:31:18,2020-07-30 19:24:27,362.2869097222222,10.0,352.2869097222222,17.0
SR19-01461163,Tree Planting Request,Streets and Sanitation,2019-05-09 12:21:18,2020-05-05 14:56:36,362.10784722222223,10.0,352.10784722222223,32.0
SR25-00198154,Sidewalk Inspection Request,CDOT - Department of Transportation,2025-02-06 10:44:19,2026-02-03 08:49:17,361.92011574074075,10.0,351.92011574074075,40.0
SR19-02749503,Pothole in Street Complaint,CDOT - Department of Transportation,2019-10-17 16:05:27,2020-10-13 11:52:05,361.8240509259259,10.0,351.8240509259259,29.0
SR19-01866377,Alley Light Out Complaint,CDOT - Department of Transportation,2019-07-05 10:56:49,2020-06-30 15:49:01,361.2029166666667,10.0,351.2029166666667,8.0
SR19-02074852,Tree Trim Request (NO LONGER BEING ACCEPTED),Streets and Sanitation,2019-07-30 13:24:49,2020-07-25 13:19:31,360.99631944444445,10.0,350.99631944444445,34.0
SR19-02098086,Sewer Cleaning Inspection Request,DWM - Department of Water Management,2019-08-01 16:22:35,2020-07-27 14:38:46,360.9279050925926,10.0,350.9279050925926,15.0
SR19-02999795,Water On Street Complaint,DWM - Department of Water Management,2019-11-21 22:05:39,2020-11-16 09:10:55,360.46199074074076,10.0,350.46199074074076,5.0
SR20-03389512,Pothole in Street Complaint,CDOT - Department of Transportation,2020-01-24 22:12:13,2021-01-19 08:18:44,360.4211921296296,10.0,350.4211921296296,35.0
SR19-03145490,Traffic Signal Out Complaint,CDOT - Department of Transportation,2019-12-16 10:33:35,2020-12-10 18:48:37,360.34377314814816,10.0,350.34377314814816,7.0
SR19-01438977,Street Light On During Day Complaint,CDOT - Department of Transportation,2019-05-06 09:24:52,2020-04-30 14:06:06,360.19530092592595,10.0,350.19530092592595,41.0
SR19-01136904,Alley Pothole Complaint,CDOT - Department of Transportation,2019-03-11 09:18:46,2020-03-05 12:55:17,360.1503587962963,10.0,350.1503587962963,30.0
SR20-03389955,Pothole in Street Complaint,CDOT - Department of Transportation,2020-01-25 05:21:26,2021-01-19 08:18:44,360.123125,10.0,350.123125,35.0
SR19-01510892,Tree Planting Request,Streets and Sanitation,2019-05-17 11:32:42,2020-05-11 12:29:50,360.0396759259259,10.0,350.0396759259259,36.0
SR20-04244250,Tree Planting Request,Streets and Sanitation,2020-05-31 18:17:20,2021-05-26 14:41:08,359.8498611111111,10.0,349.8498611111111,32.0
SR19-02609925,Tree Removal Inspection,Streets and Sanitation,2019-09-30 08:44:53,2020-09-23 11:32:28,359.1163773148148,10.0,349.1163773148148,40.0
SR20-04624966,Tree Trim Request (NO LONGER BEING ACCEPTED),Streets and Sanitation,2020-07-20 14:42:45,2021-07-14 15:38:31,359.03872685185183,10.0,349.03872685185183,8.0
SR19-02889573,Tree Trim Request (NO LONGER BEING ACCEPTED),Streets and Sanitation,2019-11-05 14:02:19,2020-10-29 13:38:53,358.9837268518518,10.0,348.9837268518518,47.0
SR20-03394782,Pothole in Street Complaint,CDOT - Department of Transportation,2020-01-26 09:29:35,2021-01-19 08:18:44,358.9507986111111,10.0,348.9507986111111,35.0
SR20-03396886,Pothole in Street Complaint,CDOT - Department of Transportation,2020-01-26 18:33:35,2021-01-19 08:18:44,358.5730208333333,10.0,348.5730208333333,35.0
SR19-02121757,Street Light On During Day Complaint,CDOT - Department of Transportation,2019-08-05 04:59:25,2020-07-28 15:31:25,358.43888888888887,10.0,348.43888888888887,39.0
SR19-02121760,Street Light On During Day Complaint,CDOT - Department of Transportation,2019-08-05 05:01:08,2020-07-28 15:31:25,358.43769675925927,10.0,348.43769675925927,39.0
SR19-02121770,Street Light On During Day Complaint,CDOT - Department of Transportation,2019-08-05 05:08:20,2020-07-28 15:31:25,358.4326967592593,10.0,348.4326967592593,39.0
SR19-02121799,Street Light On During Day Complaint,CDOT - Department of Transportation,2019-08-05 05:36:54,2020-07-28 15:31:25,358.4128587962963,10.0,348.4128587962963,39.0
SR19-02121802,Street Light On During Day Complaint,CDOT - Department of Transportation,2019-08-05 05:39:21,2020-07-28 15:31:25,358.4111574074074,10.0,348.4111574074074,39.0
SR19-02121806,Street Light On During Day Complaint,CDOT - Department of Transportation,2019-08-05 05:41:33,2020-07-28 15:31:25,358.40962962962965,10.0,348.40962962962965,39.0
SR21-02085038,Pothole in Street Complaint,CDOT - Department of Transportation,2021-11-30 09:48:29,2022-11-23 14:31:28,358.1965162037037,10.0,348.1965162037037,
SR19-01420899,Tree Removal Inspection,Streets and Sanitation,2019-05-02 06:33:35,2020-04-24 10:12:27,358.15199074074076,10.0,348.15199074074076,7.0
SR25-00195411,Sign Repair Request - All Other Signs,CDOT - Department of Transportation,2025-02-05 18:51:48,2026-01-29 22:17:46,358.1430324074074,10.0,348.1430324074074,44.0
SR25-00229795,Sidewalk Inspection Request,CDOT - Department of Transportation,2025-02-12 09:07:34,2026-02-05 10:36:08,358.0615046296296,10.0,348.0615046296296,21.0
SR25-00229896,Sidewalk Inspection Request,CDOT - Department of Transportation,2025-02-12 09:24:34,2026-02-05 10:36:08,358.04969907407406,10.0,348.04969907407406,21.0
SR25-00186525,Sign Repair Request - All Other Signs,CDOT - Department of Transportation,2025-02-04 14:02:26,2026-01-28 14:21:48,358.01344907407406,10.0,348.01344907407406,40.0
SR19-02432755,Tree Trim Request (NO LONGER BEING ACCEPTED),Streets and Sanitation,2019-09-09 15:52:49,2020-09-01 13:25:41,357.8978240740741,10.0,347.8978240740741,22.0
SR22-00679716,Sidewalk Inspection Request,CDOT - Department of Transportation,2022-04-25 12:33:21,2023-04-18 09:57:05,357.8914814814815,10.0,347.8914814814815,17.0
SR20-03760586,Sewer Cleaning Inspection Request,DWM - Department of Water Management,2020-03-23 14:57:31,2021-03-16 10:15:55,357.80444444444447,10.0,347.80444444444447,10.0
SR20-04825204,Sidewalk Inspection Request,CDOT - Department of Transportation,2020-08-13 21:40:12,2021-08-06 14:28:38,357.70030092592594,10.0,347.70030092592594,31.0
SR19-01649596,Tree Removal Inspection,Streets and Sanitation,2019-06-06 19:35:32,2020-05-29 10:56:05,357.63927083333334,10.0,347.63927083333334,19.0
SR20-04738581,Sidewalk Inspection Request,CDOT - Department of Transportation,2020-08-04 11:59:16,2021-07-27 15:03:13,357.1277430555556,10.0,347.1277430555556,36.0
