customer_id,touchpoint_order,total_touchpoints,channel,converted,revenue
1,1,6,Google Search,0,0.0
1,2,6,Direct,0,0.0
1,3,6,Facebook,0,0.0
1,4,6,Google Search,0,0.0
1,5,6,Google Search,0,0.0
1,6,6,Direct,0,0.0
2,1,5,Email,1,0.0
2,2,5,Google Search,1,0.0
2,3,5,Facebook,1,0.0
2,4,5,Instagram,1,0.0
2,5,5,Google Search,1,127.45
3,1,6,YouTube,1,0.0
3,2,6,Email,1,0.0
3,3,6,Instagram,1,0.0
3,4,6,Facebook,1,0.0
3,5,6,Organic SEO,1,0.0
3,6,6,Direct,1,81.71
4,1,4,Email,1,0.0
4,2,4,Facebook,1,0.0
4,3,4,Organic SEO,1,0.0
4,4,4,Email,1,141.65
5,1,1,Email,1,261.42
6,1,3,Direct,0,0.0
6,2,3,Direct,0,0.0
6,3,3,Instagram,0,0.0
7,1,4,Google Search,0,0.0
7,2,4,Email,0,0.0
7,3,4,YouTube,0,0.0
7,4,4,Organic SEO,0,0.0
8,1,2,YouTube,1,0.0
8,2,2,Google Search,1,76.41
9,1,3,Organic SEO,0,0.0
9,2,3,Direct,0,0.0
9,3,3,Organic SEO,0,0.0
10,1,4,YouTube,1,0.0
10,2,4,Email,1,0.0
10,3,4,Email,1,0.0
10,4,4,Facebook,1,76.41
11,1,6,YouTube,0,0.0
11,2,6,YouTube,0,0.0
11,3,6,Facebook,0,0.0
11,4,6,Direct,0,0.0
11,5,6,Facebook,0,0.0
11,6,6,Email,0,0.0
12,1,6,YouTube,0,0.0
12,2,6,Facebook,0,0.0
12,3,6,Email,0,0.0
12,4,6,Direct,0,0.0
12,5,6,Google Search,0,0.0
12,6,6,Direct,0,0.0
13,1,4,Facebook,1,0.0
13,2,4,Facebook,1,0.0
13,3,4,Organic SEO,1,0.0
13,4,4,Organic SEO,1,271.9
14,1,6,Instagram,0,0.0
14,2,6,Organic SEO,0,0.0
14,3,6,YouTube,0,0.0
14,4,6,Facebook,0,0.0
14,5,6,Google Search,0,0.0
14,6,6,Direct,0,0.0
15,1,6,YouTube,1,0.0
15,2,6,Organic SEO,1,0.0
15,3,6,Email,1,0.0
15,4,6,Facebook,1,0.0
15,5,6,Organic SEO,1,0.0
15,6,6,Instagram,1,154.04
16,1,1,Organic SEO,1,64.8
17,1,2,Direct,1,0.0
17,2,2,Email,1,131.6
18,1,4,YouTube,0,0.0
18,2,4,Instagram,0,0.0
18,3,4,Facebook,0,0.0
18,4,4,Instagram,0,0.0
19,1,6,Direct,0,0.0
19,2,6,YouTube,0,0.0
19,3,6,Instagram,0,0.0
19,4,6,Facebook,0,0.0
19,5,6,YouTube,0,0.0
19,6,6,Google Search,0,0.0
20,1,4,Google Search,0,0.0
20,2,4,Direct,0,0.0
20,3,4,Direct,0,0.0
20,4,4,Organic SEO,0,0.0
21,1,5,Organic SEO,1,0.0
21,2,5,Organic SEO,1,0.0
21,3,5,Email,1,0.0
21,4,5,YouTube,1,0.0
21,5,5,YouTube,1,65.08
22,1,2,Instagram,0,0.0
22,2,2,Direct,0,0.0
23,1,1,YouTube,0,0.0
24,1,1,Organic SEO,0,0.0
25,1,3,Facebook,1,0.0
25,2,3,Facebook,1,0.0
25,3,3,Instagram,1,64.97
26,1,6,Instagram,0,0.0
26,2,6,Google Search,0,0.0
26,3,6,Direct,0,0.0
26,4,6,Direct,0,0.0
26,5,6,Google Search,0,0.0
26,6,6,Instagram,0,0.0
27,1,3,Instagram,0,0.0
27,2,3,YouTube,0,0.0
27,3,3,Organic SEO,0,0.0
28,1,6,YouTube,0,0.0
28,2,6,YouTube,0,0.0
28,3,6,Email,0,0.0
28,4,6,YouTube,0,0.0
28,5,6,Email,0,0.0
28,6,6,Organic SEO,0,0.0
29,1,2,Facebook,0,0.0
29,2,2,Email,0,0.0
30,1,2,YouTube,0,0.0
30,2,2,Google Search,0,0.0
31,1,1,Facebook,0,0.0
32,1,3,Google Search,1,0.0
32,2,3,Facebook,1,0.0
32,3,3,YouTube,1,106.63
33,1,2,Direct,0,0.0
33,2,2,Organic SEO,0,0.0
34,1,2,Direct,1,0.0
34,2,2,Direct,1,23.59
35,1,1,YouTube,0,0.0
36,1,4,Instagram,1,0.0
36,2,4,Direct,1,0.0
36,3,4,YouTube,1,0.0
36,4,4,Organic SEO,1,26.91
37,1,4,Direct,0,0.0
37,2,4,Direct,0,0.0
37,3,4,Google Search,0,0.0
37,4,4,Facebook,0,0.0
38,1,2,Email,1,0.0
38,2,2,Facebook,1,60.73
39,1,1,Instagram,0,0.0
40,1,5,Google Search,0,0.0
40,2,5,YouTube,0,0.0
40,3,5,Instagram,0,0.0
40,4,5,Google Search,0,0.0
40,5,5,Google Search,0,0.0
41,1,2,Facebook,1,0.0
41,2,2,Instagram,1,44.3
42,1,4,Organic SEO,0,0.0
42,2,4,Facebook,0,0.0
42,3,4,Google Search,0,0.0
42,4,4,Email,0,0.0
43,1,4,Facebook,0,0.0
43,2,4,YouTube,0,0.0
43,3,4,Direct,0,0.0
43,4,4,Direct,0,0.0
44,1,4,Facebook,0,0.0
44,2,4,Email,0,0.0
44,3,4,Organic SEO,0,0.0
44,4,4,YouTube,0,0.0
45,1,6,Email,0,0.0
45,2,6,Google Search,0,0.0
45,3,6,Instagram,0,0.0
45,4,6,Organic SEO,0,0.0
45,5,6,Instagram,0,0.0
45,6,6,Google Search,0,0.0
46,1,2,Google Search,0,0.0
46,2,2,Google Search,0,0.0
47,1,4,Google Search,0,0.0
47,2,4,Organic SEO,0,0.0
47,3,4,Facebook,0,0.0
47,4,4,YouTube,0,0.0
48,1,4,YouTube,0,0.0
48,2,4,Instagram,0,0.0
48,3,4,Email,0,0.0
48,4,4,Facebook,0,0.0
49,1,3,Facebook,1,0.0
49,2,3,Email,1,0.0
49,3,3,YouTube,1,112.17
50,1,3,Organic SEO,0,0.0
50,2,3,Organic SEO,0,0.0
50,3,3,Google Search,0,0.0
51,1,5,Organic SEO,0,0.0
51,2,5,Google Search,0,0.0
51,3,5,Facebook,0,0.0
51,4,5,Facebook,0,0.0
51,5,5,Organic SEO,0,0.0
52,1,2,Email,0,0.0
52,2,2,Facebook,0,0.0
53,1,6,Email,0,0.0
53,2,6,Organic SEO,0,0.0
53,3,6,Direct,0,0.0
53,4,6,Instagram,0,0.0
53,5,6,YouTube,0,0.0
53,6,6,Instagram,0,0.0
54,1,1,Organic SEO,1,47.67
55,1,1,Organic SEO,0,0.0
56,1,2,Facebook,0,0.0
56,2,2,YouTube,0,0.0
57,1,2,YouTube,0,0.0
57,2,2,Direct,0,0.0
58,1,3,Organic SEO,0,0.0
58,2,3,Direct,0,0.0
58,3,3,Google Search,0,0.0
59,1,3,Google Search,0,0.0
59,2,3,Email,0,0.0
59,3,3,Google Search,0,0.0
60,1,2,Direct,0,0.0
60,2,2,Instagram,0,0.0
61,1,1,Google Search,0,0.0
62,1,6,Organic SEO,1,0.0
62,2,6,Instagram,1,0.0
62,3,6,Direct,1,0.0
62,4,6,YouTube,1,0.0
62,5,6,Facebook,1,0.0
62,6,6,Google Search,1,33.49
63,1,1,Organic SEO,1,251.13
64,1,2,YouTube,0,0.0
64,2,2,Email,0,0.0
65,1,4,Organic SEO,1,0.0
65,2,4,Direct,1,0.0
65,3,4,Organic SEO,1,0.0
65,4,4,Facebook,1,76.86
66,1,2,Organic SEO,0,0.0
66,2,2,Google Search,0,0.0
67,1,3,Direct,0,0.0
67,2,3,Email,0,0.0
67,3,3,YouTube,0,0.0
68,1,2,Facebook,1,0.0
68,2,2,Direct,1,94.37
69,1,1,Organic SEO,1,33.2
70,1,4,Email,0,0.0
70,2,4,Direct,0,0.0
70,3,4,Organic SEO,0,0.0
70,4,4,Facebook,0,0.0
71,1,4,Email,0,0.0
71,2,4,Organic SEO,0,0.0
71,3,4,Organic SEO,0,0.0
71,4,4,Facebook,0,0.0
72,1,4,YouTube,0,0.0
72,2,4,Direct,0,0.0
72,3,4,Email,0,0.0
72,4,4,Google Search,0,0.0
73,1,3,Facebook,1,0.0
73,2,3,Organic SEO,1,0.0
73,3,3,Facebook,1,61.49
74,1,4,Email,1,0.0
74,2,4,Direct,1,0.0
74,3,4,Instagram,1,0.0
74,4,4,Organic SEO,1,97.29
75,1,5,Facebook,0,0.0
75,2,5,Google Search,0,0.0
75,3,5,Instagram,0,0.0
75,4,5,Instagram,0,0.0
75,5,5,Direct,0,0.0
76,1,6,Direct,0,0.0
76,2,6,Facebook,0,0.0
76,3,6,Instagram,0,0.0
76,4,6,Organic SEO,0,0.0
76,5,6,Organic SEO,0,0.0
76,6,6,YouTube,0,0.0
77,1,1,Direct,1,40.22
78,1,3,YouTube,0,0.0
78,2,3,Email,0,0.0
78,3,3,YouTube,0,0.0
79,1,2,Email,0,0.0
79,2,2,Organic SEO,0,0.0
80,1,2,YouTube,0,0.0
80,2,2,Email,0,0.0
81,1,1,Email,1,117.1
82,1,5,YouTube,0,0.0
82,2,5,Email,0,0.0
82,3,5,Instagram,0,0.0
82,4,5,YouTube,0,0.0
82,5,5,Instagram,0,0.0
83,1,6,Facebook,0,0.0
83,2,6,Google Search,0,0.0
83,3,6,Instagram,0,0.0
83,4,6,YouTube,0,0.0
83,5,6,Email,0,0.0
83,6,6,Direct,0,0.0
84,1,6,Email,0,0.0
84,2,6,Direct,0,0.0
84,3,6,Facebook,0,0.0
84,4,6,Google Search,0,0.0
84,5,6,Organic SEO,0,0.0
84,6,6,YouTube,0,0.0
85,1,4,Email,0,0.0
85,2,4,YouTube,0,0.0
85,3,4,Facebook,0,0.0
85,4,4,YouTube,0,0.0
86,1,2,Facebook,0,0.0
86,2,2,YouTube,0,0.0
87,1,1,Direct,1,59.12
88,1,6,Instagram,0,0.0
88,2,6,Google Search,0,0.0
88,3,6,Facebook,0,0.0
88,4,6,Direct,0,0.0
88,5,6,Instagram,0,0.0
88,6,6,Direct,0,0.0
89,1,5,YouTube,0,0.0
89,2,5,Organic SEO,0,0.0
89,3,5,Organic SEO,0,0.0
89,4,5,YouTube,0,0.0
89,5,5,Direct,0,0.0
90,1,5,Instagram,0,0.0
90,2,5,Facebook,0,0.0
90,3,5,Organic SEO,0,0.0
90,4,5,Instagram,0,0.0
90,5,5,Direct,0,0.0
91,1,3,Direct,1,0.0
91,2,3,Instagram,1,0.0
91,3,3,YouTube,1,73.39
92,1,1,YouTube,1,59.07
93,1,3,Email,1,0.0
93,2,3,Instagram,1,0.0
93,3,3,Google Search,1,329.18
94,1,6,Facebook,0,0.0
94,2,6,Facebook,0,0.0
94,3,6,Email,0,0.0
94,4,6,Email,0,0.0
94,5,6,Instagram,0,0.0
94,6,6,Google Search,0,0.0
95,1,4,Organic SEO,0,0.0
95,2,4,YouTube,0,0.0
95,3,4,YouTube,0,0.0
95,4,4,Direct,0,0.0
96,1,4,Instagram,0,0.0
96,2,4,Organic SEO,0,0.0
96,3,4,Email,0,0.0
96,4,4,Email,0,0.0
97,1,4,Instagram,0,0.0
97,2,4,Direct,0,0.0
97,3,4,Direct,0,0.0
97,4,4,Organic SEO,0,0.0
98,1,3,Instagram,0,0.0
98,2,3,Google Search,0,0.0
98,3,3,Email,0,0.0
99,1,4,Direct,0,0.0
99,2,4,Direct,0,0.0
99,3,4,Organic SEO,0,0.0
99,4,4,Organic SEO,0,0.0
100,1,4,YouTube,0,0.0
100,2,4,YouTube,0,0.0
100,3,4,Google Search,0,0.0
100,4,4,Instagram,0,0.0
101,1,2,Google Search,1,0.0
101,2,2,Email,1,89.17
102,1,3,Email,0,0.0
102,2,3,Organic SEO,0,0.0
102,3,3,Facebook,0,0.0
103,1,4,Facebook,0,0.0
103,2,4,Google Search,0,0.0
103,3,4,Google Search,0,0.0
103,4,4,Instagram,0,0.0
104,1,3,Facebook,1,0.0
104,2,3,Google Search,1,0.0
104,3,3,Organic SEO,1,42.93
105,1,1,Organic SEO,1,160.1
106,1,1,YouTube,1,38.3
107,1,4,YouTube,0,0.0
107,2,4,Instagram,0,0.0
