category,total,unavailable,avg_duration,critical,high
Other,949,126,1308.0,126,490
Sedatives/Anesthesia,140,34,1888.0,34,104
IV Fluids,102,11,1352.0,11,61
Cardiovascular,93,18,2393.0,18,44
Pain/Opioids,80,32,2670.0,32,35
Oncology,62,8,778.0,8,33
Antibiotics,61,8,623.0,8,20
Diuretics,48,18,1669.0,18,24
Steroids,47,7,1843.0,7,40
Analgesics/NSAIDs,25,11,2912.0,11,14
Diabetes,22,0,540.0,0,9
GI/Antiemetics,20,5,521.0,5,5
Anticholinergics,19,8,3560.0,8,8
Neurology,11,0,267.0,0,0
Respiratory,8,0,626.0,0,3
Psychiatric,6,0,270.0,0,0
