subject,sex,age,G1,G2,G3,failures,absences,studytime_label,higher,risk_score
Portuguese,M,22,7,8,5,3,12,<2 hrs,no,11
Portuguese,M,17,6,7,7,1,12,<2 hrs,no,11
Portuguese,M,18,7,8,8,1,26,<2 hrs,no,11
Portuguese,F,18,8,7,7,1,14,<2 hrs,no,11
Math,M,22,6,8,8,3,16,<2 hrs,no,11
Math,M,17,7,6,0,2,0,<2 hrs,no,10
Portuguese,M,18,7,8,6,2,4,<2 hrs,no,10
Portuguese,F,17,6,6,7,1,0,<2 hrs,no,10
Portuguese,M,18,8,9,10,1,0,<2 hrs,no,10
Math,M,19,5,0,0,3,0,<2 hrs,no,10
Portuguese,M,18,4,0,0,1,0,<2 hrs,no,10
Portuguese,M,18,9,7,9,1,2,<2 hrs,no,10
Math,M,19,8,9,8,1,38,<2 hrs,yes,10
Portuguese,M,17,9,8,10,3,14,<2 hrs,yes,10
Math,M,18,6,5,5,1,14,<2 hrs,yes,10
Portuguese,M,17,9,9,10,3,0,<2 hrs,no,10
Math,M,17,8,8,10,3,2,<2 hrs,no,10
Math,M,17,6,5,5,3,16,<2 hrs,yes,10
Math,M,18,8,7,8,1,7,<2 hrs,no,10
Math,M,18,6,8,8,1,0,<2 hrs,no,10
Portuguese,M,16,9,8,8,1,2,<2 hrs,no,10
Portuguese,M,17,8,8,9,1,8,<2 hrs,no,10
Math,M,18,6,9,8,1,4,<2 hrs,no,10
Portuguese,M,17,8,7,8,3,10,<2 hrs,no,10
Portuguese,F,17,9,9,8,1,14,<2 hrs,yes,10
Portuguese,F,19,9,9,10,1,0,<2 hrs,no,10
Portuguese,M,19,8,9,9,3,4,<2 hrs,no,10
Math,M,18,6,5,0,3,0,<2 hrs,no,10
Portuguese,F,18,8,6,0,1,0,<2 hrs,no,10
Math,F,16,6,9,8,2,14,<2 hrs,yes,10
Portuguese,F,19,5,0,0,1,0,<2 hrs,no,10
Portuguese,F,15,6,7,8,1,4,<2 hrs,yes,9
Math,M,16,6,5,0,2,0,<2 hrs,yes,9
Math,M,17,5,8,7,3,0,2-5 hrs,no,9
Math,M,16,9,9,9,2,8,<2 hrs,yes,9
Portuguese,F,19,9,8,10,1,0,2-5 hrs,no,9
Math,F,18,9,8,8,1,15,2-5 hrs,yes,9
Math,M,19,6,5,0,1,0,<2 hrs,yes,9
Math,F,19,9,9,9,2,15,2-5 hrs,yes,9
Math,M,18,6,7,8,1,15,2-5 hrs,yes,9
Math,M,17,7,9,8,1,2,<2 hrs,yes,9
Portuguese,F,19,7,8,9,1,12,2-5 hrs,yes,9
Math,M,17,5,0,0,3,0,<2 hrs,yes,9
Math,F,17,7,6,0,1,0,<2 hrs,yes,9
Math,F,18,9,8,10,3,6,<2 hrs,yes,9
Math,M,16,7,0,0,1,0,<2 hrs,yes,9
Math,M,17,9,7,8,1,20,2-5 hrs,yes,9
Math,F,19,7,8,9,3,2,2-5 hrs,no,9
Math,M,18,7,4,0,2,0,<2 hrs,yes,9
Math,M,18,7,7,0,1,0,2-5 hrs,no,9
Portuguese,F,19,7,9,9,1,6,5-10 hrs,no,9
Portuguese,F,18,7,9,10,2,6,5-10 hrs,no,9
Math,M,15,8,9,10,3,0,<2 hrs,yes,9
Math,F,16,4,0,0,2,0,<2 hrs,yes,9
Portuguese,M,17,7,0,0,1,0,<2 hrs,yes,9
Portuguese,M,17,9,9,8,3,2,<2 hrs,yes,9
Portuguese,M,19,9,9,10,2,2,2-5 hrs,no,9
Portuguese,M,18,4,8,8,2,9,2-5 hrs,no,9
Portuguese,M,19,5,8,0,1,0,<2 hrs,yes,9
Portuguese,M,18,7,7,0,1,0,<2 hrs,yes,9
Portuguese,F,19,8,0,0,3,0,2-5 hrs,no,9
Portuguese,F,17,8,8,9,1,0,<2 hrs,yes,9
Portuguese,M,19,8,9,10,1,4,<2 hrs,yes,9
Portuguese,M,17,8,8,7,3,2,<2 hrs,yes,9
Portuguese,F,15,8,9,9,1,2,<2 hrs,yes,9
Math,M,20,9,9,9,2,11,2-5 hrs,yes,9
Portuguese,M,16,9,9,8,0,16,<2 hrs,no,9
Portuguese,M,16,9,8,10,2,0,<2 hrs,yes,9
Portuguese,F,17,8,9,8,1,14,5-10 hrs,yes,9
Math,M,19,8,8,8,1,4,<2 hrs,yes,9
Portuguese,M,16,9,9,10,1,4,<2 hrs,yes,9
Portuguese,F,18,9,8,10,1,16,2-5 hrs,yes,9
Math,F,17,6,6,4,2,22,2-5 hrs,yes,9
Math,F,18,9,8,7,1,16,2-5 hrs,yes,9
Math,M,18,6,6,8,1,13,2-5 hrs,yes,9
Portuguese,F,16,7,7,8,0,6,<2 hrs,no,8
Portuguese,M,20,8,11,10,1,12,<2 hrs,no,8
Portuguese,M,17,8,9,10,1,4,2-5 hrs,yes,8
Portuguese,F,17,7,9,10,3,2,2-5 hrs,yes,8
Portuguese,M,17,8,9,8,1,8,2-5 hrs,yes,8
Math,M,16,7,7,5,0,14,<2 hrs,yes,8
Portuguese,F,19,7,8,9,1,4,2-5 hrs,yes,8
Portuguese,F,16,5,5,7,2,8,2-5 hrs,yes,8
Math,F,15,7,8,10,3,10,2-5 hrs,yes,8
Math,M,15,5,9,7,2,6,2-5 hrs,yes,8
Portuguese,F,17,9,9,10,0,4,<2 hrs,no,8
Math,M,16,7,6,0,0,0,<2 hrs,no,8
Math,F,15,6,7,0,3,0,2-5 hrs,yes,8
Portuguese,F,16,7,7,8,3,0,2-5 hrs,yes,8
Portuguese,F,18,9,8,8,1,9,2-5 hrs,yes,8
Portuguese,F,18,8,5,8,1,8,2-5 hrs,yes,8
Portuguese,F,18,7,7,7,1,9,2-5 hrs,yes,8
Portuguese,M,18,8,7,8,0,16,2-5 hrs,no,8
Portuguese,M,18,7,8,7,0,8,<2 hrs,no,8
Portuguese,F,18,8,9,10,0,12,2-5 hrs,no,8
Portuguese,M,17,8,8,9,0,8,<2 hrs,no,8
Portuguese,F,16,9,8,8,1,3,5-10 hrs,yes,8
Math,F,16,8,7,0,3,0,2-5 hrs,yes,8
Portuguese,F,15,6,8,9,0,0,<2 hrs,no,8
Portuguese,F,19,8,8,9,2,2,2-5 hrs,yes,8
Math,F,17,7,6,6,0,18,<2 hrs,yes,8
Math,F,16,7,7,7,3,5,2-5 hrs,yes,8
Math,F,17,6,5,5,0,14,<2 hrs,yes,8
Math,F,19,7,7,9,2,4,2-5 hrs,yes,8
Math,M,18,9,9,9,0,22,<2 hrs,yes,8
Math,M,17,8,8,8,0,30,<2 hrs,yes,8
Math,F,17,6,5,0,1,0,5-10 hrs,yes,8
Portuguese,M,17,7,6,8,2,4,2-5 hrs,yes,8
Math,M,19,8,7,8,3,8,2-5 hrs,yes,8
Math,M,18,3,5,5,1,8,2-5 hrs,yes,8
Math,F,18,6,5,0,1,0,2-5 hrs,yes,8
Math,F,19,7,5,0,1,0,5-10 hrs,yes,8
Math,F,17,9,8,0,1,0,2-5 hrs,yes,8
Math,F,19,9,9,0,1,0,2-5 hrs,yes,8
Portuguese,M,16,9,9,8,0,12,<2 hrs,yes,8
Portuguese,M,17,9,7,6,0,22,<2 hrs,yes,8
Portuguese,F,19,6,8,7,0,0,<2 hrs,no,8
Portuguese,F,18,7,6,8,1,3,2-5 hrs,yes,8
Portuguese,F,18,7,8,7,2,3,2-5 hrs,yes,8
Portuguese,F,18,9,0,0,1,0,2-5 hrs,yes,8
Math,F,15,7,9,8,2,6,2-5 hrs,yes,8
Portuguese,F,18,6,8,8,2,2,2-5 hrs,yes,8
Math,F,15,7,7,7,1,2,2-5 hrs,yes,8
Math,F,15,8,6,5,2,2,2-5 hrs,yes,8
Math,F,15,8,7,6,0,0,<2 hrs,yes,7
Math,M,15,8,8,11,0,0,<2 hrs,yes,7
Portuguese,F,17,8,7,8,0,5,5-10 hrs,no,7
Math,F,16,5,5,5,0,12,2-5 hrs,yes,7
Math,M,16,9,7,6,0,18,2-5 hrs,yes,7
Math,M,17,11,9,10,1,19,<2 hrs,yes,7
Math,F,18,6,0,0,0,0,2-5 hrs,no,7
Portuguese,M,15,8,9,10,0,2,<2 hrs,yes,7
Math,M,16,8,9,8,0,0,<2 hrs,yes,7
Math,M,16,6,0,0,0,0,<2 hrs,yes,7
Portuguese,F,16,9,9,10,0,4,<2 hrs,yes,7
Portuguese,M,16,9,9,11,0,4,<2 hrs,yes,7
Portuguese,M,18,11,9,0,2,0,<2 hrs,no,7
Portuguese,F,15,9,8,9,0,24,2-5 hrs,yes,7
Math,M,19,8,9,9,0,5,<2 hrs,yes,7
Portuguese,M,15,9,9,9,0,2,<2 hrs,yes,7
Math,F,18,6,5,6,0,7,<2 hrs,yes,7
Math,M,18,7,6,7,0,5,<2 hrs,yes,7
Portuguese,M,18,5,6,6,0,2,>10 hrs,no,7
Portuguese,F,17,9,9,9,0,5,<2 hrs,yes,7
Math,M,16,8,6,7,0,18,2-5 hrs,yes,7
Math,F,15,7,6,6,0,26,2-5 hrs,yes,7
Portuguese,F,17,7,9,10,0,9,<2 hrs,yes,7
Portuguese,F,18,7,9,10,0,4,<2 hrs,yes,7
Portuguese,M,16,7,8,8,0,6,<2 hrs,yes,7
Portuguese,F,16,8,6,8,0,0,<2 hrs,yes,7
Portuguese,F,18,9,11,10,1,4,<2 hrs,no,7
Portuguese,F,17,9,9,10,0,5,<2 hrs,yes,7
Portuguese,F,16,8,9,9,0,0,2-5 hrs,no,7
Math,F,15,8,0,0,0,0,<2 hrs,yes,7
Math,M,17,7,8,8,0,12,2-5 hrs,yes,7
Math,M,16,8,9,10,0,8,<2 hrs,yes,7
Math,F,16,9,9,10,0,6,<2 hrs,yes,7
Portuguese,M,17,8,8,8,0,0,2-5 hrs,no,7
Math,F,17,7,7,8,0,3,<2 hrs,yes,7
Portuguese,M,21,9,10,10,2,21,2-5 hrs,no,7
Portuguese,M,18,8,9,11,0,2,<2 hrs,yes,7
Portuguese,F,17,11,9,10,1,8,<2 hrs,no,7
Portuguese,F,17,7,8,9,0,4,<2 hrs,yes,7
Portuguese,M,18,7,7,0,0,0,<2 hrs,yes,7
Portuguese,F,16,7,6,7,0,2,<2 hrs,yes,7
Math,F,17,9,9,8,0,56,2-5 hrs,yes,7
Math,M,16,9,9,10,0,8,<2 hrs,yes,7
Math,M,15,9,9,10,0,6,2-5 hrs,yes,6
Math,F,15,8,8,6,0,8,2-5 hrs,yes,6
Math,F,16,7,7,6,0,4,>10 hrs,yes,6
Math,F,16,8,9,10,0,8,2-5 hrs,yes,6
Math,F,16,7,10,11,1,25,2-5 hrs,yes,6
Math,F,15,8,9,8,0,2,2-5 hrs,yes,6
Math,F,15,7,6,6,0,10,2-5 hrs,yes,6
Portuguese,F,17,8,9,9,0,10,2-5 hrs,yes,6
Math,F,18,8,9,10,0,4,2-5 hrs,yes,6
Portuguese,F,18,9,10,10,1,2,2-5 hrs,no,6
Math,F,18,8,8,10,0,2,5-10 hrs,yes,6
Portuguese,F,18,5,0,0,0,0,2-5 hrs,yes,6
Portuguese,F,18,8,8,10,0,4,2-5 hrs,yes,6
