review_text,star_rating,review_id,date,sentiment,theme,urgency,key_phrase,month,week
"not recommend hotel did reviewers actually stay hotel did, good thing hotel location really close leidseplein, shared facilities filthy got, did not look toilet floor cleaned month, facilities not cleaned 3 days got, disgusting, staff rude complained left night early refused refund night, not recommend hotel,  ",1,REV-0001,2024-01-01,negative,customer_service,high,hotel service was awful,2024-01,2024-01-01
"barcelona rocks, stayed hotel jazz girlfriend 3 nights end august.the hotel excellent location carrer pelai, close placa catalunya ramblas appreciate buzz city removed respite mayhem crowds, caught airport bus barcelona costs 7 euros person return trip, hotel located 2 mins walk maximum placa universitat stop 2nd route, hotel modern clean, air conditioning room superb balcony looking street outside, room good size, bathroom fine scrimp bit toiletries, bring shower gels unless consider washing un",5,REV-0002,2024-01-01,positive,product_quality,low,hotel modern clean rooms,2024-01,2024-01-01
"ok hotel good location stayed night way beijing rawa island, hotel service room ok. location great shopping restaurants, probably stay, opinion nice 3 star hotel,  ",1,REV-0003,2024-01-02,neutral,general,low,hotel ok good location,2024-01,2024-01-01
"great service nice pool ok beach lovely grounds small rooms stayed 5 days 4 nights 1st 5th, quick cab ride hotel, no line checkin requested king bed guaranteed offered doubles b club level floor, wasnt thrilled went, grounds hotel beautiful, issue posters close airport nonissue, inside hotel heard planes taking, outside hotel heard thrusts engines twice, white noise wind pool people ocean not airport thought, club level nice, compare club levels st. regis aspen, pales compared worth upgrade, clu",5,REV-0004,2024-01-03,positive,product_quality,low,hotel pool and beach area,2024-01,2024-01-01
"surprising treat spent weekend july 15/16 2006 cartwright hotel based purely recommendations read site, actually expecting like small older european hotel, cartwright amazing, small elegant pleasant staff knowlegable city, room small nicely appointed queen bed linens quality, no airconditioning temperatures sf rarely warrant open windows fresh air night 4th floor, wine hour afternoon gave opportunity meet guests share days adventures breakfast buffet adequate, walk half block powell st cable car",5,REV-0005,2024-01-04,positive,product_quality,low,hotel was a pleasant surprise,2024-01,2024-01-01
"fantastic stay affinia 50 stayed affinia 50 december 22-29 2007. not happier, room bedroom suite spacious comfortable family including 2 teenagers, desk doormen extremely helpful, especially enjoyed club floor complimentary drinks 6 7pm, met fellow travellers able share experiences ideas great idea, location fantastic walk rockerfeller centre grand central station times square, definitely reccommend stay affinia hotel future,  ",5,REV-0006,2024-01-05,positive,customer_service,low,helpful doormen staff,2024-01,2024-01-01
"great choice, stayed argonaut 7th 10th sepember second leg honeymoon states, loved, booked expedia got pretty good rate realised making booking got slightly cheaper booking direct kimpton hotels parent, shop best rate.on arrival doormen check-in staff friendly efficient, bottle champagne ice-bucket waiting room honeymoon nice touch, room pretty large beautifully decorated nautical theme.it inward facing room i.e, no bay view bright looks window holiday, furnished k/s bed fridge minibar tv dvd sa",5,REV-0007,2024-01-06,positive,product_quality,low,large beautifully decorated room,2024-01,2024-01-01
"treat good room glimpse bridge, thought room, impeccable service, excellent food bar restaurant, brilliant value, criticism so-called business centre disgrace expensive compared dubai bangkok internet cut warning ludicrously short opening hours,  ",5,REV-0008,2024-01-07,positive,product_quality,low,brilliant value good room,2024-01,2024-01-01
"par price stayed marco polo hotel 1 night november 18 19 time, check quick efficient got room no light working called reception, person housekeeping arrived 5 minutes later light bulbs quickly realized wrong light did not work, mentioned need engineer went reception change room not exactly want 16 hours trip europe got new room quickly worked fine, room large separate pantry old-fashioned worn fixtures furniture, tv small not possible bed, internet speed fine hkd 120 24 hours breakfast arrived m",1,REV-0009,2024-01-08,negative,product_quality,high,broken light in room,2024-01,2024-01-08
"great value money tegal sari lovely hotel, wife stayed 3-days middle honeymoon, cheapest resort stayed just nice, facilities nice pictures, stayed duplex room nicest room, large room 2 balconies jacuzzi tub, tub nice different expected, not deep thought, staff really nice helpful, willing drive wanted ubud free pick, food just okay cheap, cokes refrig room cost 3,500 0.40 cents american, ice cream good dinners, definetly bang buck stayed,  ",5,REV-0010,2024-01-09,positive,value_for_money,low,great value money,2024-01,2024-01-08
