EmployerName,sector,DiffMeanHourlyPercent,DiffMedianHourlyPercent,FemaleTopQuartile,EmployerSize
CALEDONIAN HERITABLE LIMITED,Food & Beverage,100.0,100.0,42.0,500 to 999
GRAHAMS THE FAMILY DAIRY GROUP LIMITED,Food Manufacturing,97.0,10.0,15.0,500 to 999
IPSWICH TOWN FOOTBALL CLUB COMPANY LIMITED,Sports/Recreation,92.03,54.55,17.47,1000 to 4999
NSWE SPORTS LIMITED,Real Estate,85.47,2.97,18.41,1000 to 4999
WEST HAM UNITED FOOTBALL CLUB LIMITED,Sports/Recreation,85.15,0.67,24.0,500 to 999
Bellevue Place Education Trust,Other,84.3,73.9,83.7,500 to 999
SWIFT EMPLOYMENT SOLUTIONS LIMITED,Management Consulting,83.9,70.2,59.5,1000 to 4999
AFC BOURNEMOUTH LIMITED,Sports/Recreation,83.8,4.7,22.3,500 to 999
WOLVERHAMPTON WANDERERS FOOTBALL CLUB (1986) LIMITED,Sports/Recreation,83.3,10.0,12.9,500 to 999
CHELSEA FOOTBALL CLUB LIMITED,Sports/Recreation,82.5,7.4,10.5,1000 to 4999
MANCHESTER CITY FOOTBALL CLUB LIMITED,Sports/Recreation,82.3,2.1,23.5,1000 to 4999
FULHAM FOOTBALL CLUB LIMITED,Sports/Recreation,81.19,5.6,11.0,500 to 999
THE LIVERPOOL FOOTBALL CLUB AND ATHLETIC GROUNDS LIMITED,Sports/Recreation,80.02,0.32,35.7,"5000 to 19,999"
NEWCASTLE UNITED FOOTBALL COMPANY LIMITED,Sports/Recreation,78.9,0.0,25.0,1000 to 4999
MIDDLESBROUGH FOOTBALL & ATHLETIC COMPANY (1986) LIMITED,Sports/Recreation,77.9,21.8,6.1,500 to 999
