region,purchase_price,monthly_rent_est,annual_rent,gross_yield_pct,total_expenses,net_annual_income,net_yield_pct,growth_since_2015_pct
Scotland,170000,805,9663,5.68,9266,397,0.23,18.4
North East,130000,603,7231,5.56,7257,-26,-0.02,15.9
North West,185000,798,9572,5.17,9912,-340,-0.18,22.7
Wales,175000,717,8606,4.92,9372,-766,-0.44,19.5
East Midlands,210000,823,9880,4.7,11039,-1159,-0.55,32.8
Yorkshire and The Humber,185000,723,8671,4.69,9816,-1145,-0.62,24.6
West Midlands,220000,824,9885,4.49,11477,-1592,-0.72,26.7
London,520000,1757,21086,4.06,25794,-4708,-0.91,21.2
East England,320000,1089,13070,4.08,16191,-3120,-0.98,28.1
South West,295000,969,11627,3.94,14943,-3317,-1.12,29.2
South East,375000,1207,14481,3.86,18747,-4266,-1.14,27.0
