genre,movie_count,total_ratings,avg_rating,min_rating,max_rating,unique_raters,ratings_per_movie,rank_by_rating,rank_by_volume,rank_by_engagement,rank_by_supply,composite_rank,demand_score,supply_score,opportunity_score
IMAX,158,4145,3.618,0.5,5.0,458,26.2,8,15,1,18,8.0,100.0,1.7,98.3
Sci-Fi,980,17243,3.456,0.5,5.0,605,17.6,15,7,3,8,8.3,63.2,20.9,42.3
Adventure,1263,24161,3.509,0.5,5.0,606,19.1,11,5,2,6,6.0,69.7,27.5,42.2
Fantasy,779,11834,3.491,0.5,5.0,583,15.2,14,9,5,10,9.3,53.0,16.2,36.8
Western,167,1930,3.584,0.5,5.0,420,11.6,9,17,12,17,12.7,37.6,1.9,35.7
War,382,4859,3.808,0.5,5.0,551,12.7,2,14,10,15,8.7,42.3,6.9,35.4
Musical,334,4138,3.564,0.5,5.0,470,12.4,10,16,11,16,12.3,41.0,5.8,35.2
Mystery,573,7674,3.632,0.5,5.0,580,13.4,6,11,9,13,8.7,45.3,11.4,33.9
Children,664,9208,3.413,0.5,5.0,559,13.9,17,10,7,11,11.3,47.4,13.5,33.9
Film-Noir,87,870,3.92,0.5,5.0,239,10.0,1,19,16,19,12.0,30.8,0.0,30.8
Animation,611,6988,3.63,0.5,5.0,527,11.4,7,13,13,12,11.0,36.8,12.3,24.5
Crime,1199,16681,3.658,0.5,5.0,603,13.9,4,8,7,7,6.3,47.4,26.0,21.4
Action,1828,30635,3.448,0.5,5.0,608,16.8,16,3,4,4,7.7,59.8,40.7,19.1
Thriller,1894,26452,3.494,0.5,5.0,609,14.0,13,4,6,3,7.7,47.9,42.3,5.6
Romance,1596,18124,3.507,0.5,5.0,606,11.4,12,6,13,5,10.3,36.8,35.3,1.5
Horror,978,7291,3.258,0.5,5.0,535,7.5,19,12,18,9,16.3,20.1,20.8,-0.7
Documentary,440,1219,3.798,0.5,5.0,223,2.8,3,18,19,14,13.3,0.0,8.3,-8.3
Comedy,3756,39053,3.385,0.5,5.0,609,10.4,18,2,15,2,11.7,32.5,85.8,-53.3
Drama,4361,41928,3.656,0.5,5.0,610,9.6,5,1,17,1,7.7,29.1,100.0,-70.9
