genre,decade,movies,ratings,avg_rating
Action,1980,227,4386,3.6
Action,1990,392,10744,3.33
Action,2000,549,9438,3.43
Action,2010,464,3950,3.46
Adventure,1980,170,3696,3.62
Adventure,1990,239,7332,3.36
Adventure,2000,363,7793,3.51
Adventure,2010,292,2931,3.53
Animation,1980,63,578,3.65
Animation,1990,100,2037,3.64
Animation,2000,204,2576,3.65
Animation,2010,172,934,3.63
Children,1980,69,1011,3.45
Children,1990,183,3444,3.27
Children,2000,190,2594,3.49
Children,2010,108,715,3.52
Comedy,1980,492,5673,3.42
Comedy,1990,890,15695,3.33
Comedy,2000,1135,11117,3.32
Comedy,2010,758,3290,3.43
Crime,1980,124,1491,3.49
Crime,1990,264,6814,3.68
Crime,2000,404,5398,3.6
Crime,2010,218,1267,3.56
Documentary,1980,26,105,3.82
Documentary,1990,73,219,3.91
Documentary,2000,198,667,3.72
Documentary,2010,119,191,3.91
Drama,1980,439,4192,3.63
Drama,1990,1038,15879,3.63
Drama,2000,1365,12969,3.62
Drama,2010,743,3487,3.57
Fantasy,1980,106,1761,3.52
Fantasy,1990,149,3453,3.35
Fantasy,2000,252,4112,3.54
Fantasy,2010,178,1280,3.45
Film-Noir,1980,6,48,3.78
Film-Noir,1990,13,251,3.79
Film-Noir,2000,6,151,3.83
Horror,1980,176,1206,3.25
Horror,1990,160,2312,3.22
Horror,2000,298,2215,3.15
Horror,2010,190,460,3.27
IMAX,1990,10,545,3.86
IMAX,2000,44,1751,3.59
IMAX,2010,104,1849,3.57
Musical,1980,41,481,3.36
Musical,1990,53,1214,3.6
Musical,2000,76,701,3.48
Musical,2010,23,164,3.51
Mystery,1980,62,412,3.42
Mystery,1990,115,2907,3.59
Mystery,2000,183,2686,3.6
Mystery,2010,106,679,3.7
Romance,1980,154,1835,3.43
Romance,1990,422,7778,3.47
Romance,2000,523,5685,3.48
Romance,2010,217,881,3.36
Sci-Fi,1980,156,3093,3.61
Sci-Fi,1990,173,5242,3.31
Sci-Fi,2000,266,4798,3.4
Sci-Fi,2010,244,2497,3.56
Thriller,1980,180,2181,3.47
Thriller,1990,420,11327,3.47
Thriller,2000,654,8560,3.45
Thriller,2010,417,2373,3.49
War,1980,47,544,3.86
War,1990,60,1774,3.84
War,2000,110,1247,3.66
War,2010,40,265,3.58
Western,1980,12,88,3.34
Western,1990,30,913,3.42
Western,2000,26,171,3.54
Western,2010,19,186,3.63
