id_student,code_module,code_presentation,risk_tier,dropout_risk_score,final_result
11391,AAA,2013J,Medium,4.31,Pass
28400,AAA,2013J,Medium,4.71,Pass
30268,AAA,2013J,Critical,9.45,Withdrawn
31604,AAA,2013J,Medium,4.25,Pass
32885,AAA,2013J,Medium,4.9,Pass
38053,AAA,2013J,Medium,4.24,Pass
45462,AAA,2013J,Medium,4.61,Pass
45642,AAA,2013J,Medium,4.29,Pass
52130,AAA,2013J,Medium,4.3,Pass
53025,AAA,2013J,Medium,4.12,Pass
57506,AAA,2013J,Medium,4.37,Pass
58873,AAA,2013J,Medium,4.44,Pass
59185,AAA,2013J,Medium,4.41,Pass
62155,AAA,2013J,Medium,4.1,Pass
63400,AAA,2013J,Medium,4.19,Pass
65002,AAA,2013J,Critical,7.84,Withdrawn
70464,AAA,2013J,Medium,4.91,Pass
71361,AAA,2013J,Medium,4.15,Pass
74372,AAA,2013J,Medium,5.31,Fail
75091,AAA,2013J,Medium,4.46,Pass
77367,AAA,2013J,Medium,4.63,Pass
91265,AAA,2013J,Medium,4.56,Pass
94961,AAA,2013J,Critical,7.76,Withdrawn
98094,AAA,2013J,Medium,4.54,Pass
100893,AAA,2013J,Medium,4.79,Pass
101781,AAA,2013J,Medium,4.03,Pass
102806,AAA,2013J,Medium,4.14,Pass
102952,AAA,2013J,Medium,4.45,Pass
104476,AAA,2013J,Medium,3.93,Pass
106247,AAA,2013J,Critical,7.9,Withdrawn
106577,AAA,2013J,Medium,5.11,Pass
110175,AAA,2013J,Medium,4.63,Pass
111717,AAA,2013J,Medium,4.04,Pass
113295,AAA,2013J,Medium,3.89,Pass
114017,AAA,2013J,Medium,4.66,Pass
114999,AAA,2013J,Medium,4.34,Pass
116541,AAA,2013J,Medium,4.75,Pass
116692,AAA,2013J,Medium,4.36,Pass
118983,AAA,2013J,Medium,4.99,Pass
123044,AAA,2013J,Medium,4.37,Pass
127582,AAA,2013J,Medium,4.56,Pass
129955,AAA,2013J,High,7.3,Withdrawn
132976,AAA,2013J,Medium,4.68,Pass
134143,AAA,2013J,Medium,3.87,Distinction
135335,AAA,2013J,Critical,9.5,Withdrawn
135400,AAA,2013J,Critical,7.9,Withdrawn
137873,AAA,2013J,Medium,3.79,Pass
141355,AAA,2013J,Medium,4.49,Pass
141377,AAA,2013J,Critical,8.07,Withdrawn
142326,AAA,2013J,Medium,4.38,Pass
144801,AAA,2013J,Medium,3.85,Pass
145130,AAA,2013J,Medium,5.01,Pass
146188,AAA,2013J,Medium,5.23,Fail
147756,AAA,2013J,Medium,4.46,Fail
147793,AAA,2013J,Critical,8.22,Withdrawn
148993,AAA,2013J,High,7.21,Withdrawn
151358,AAA,2013J,Medium,5.08,Pass
155550,AAA,2013J,Medium,4.75,Pass
155854,AAA,2013J,Medium,3.93,Pass
155984,AAA,2013J,High,7.37,Withdrawn
157568,AAA,2013J,Medium,4.37,Pass
159954,AAA,2013J,Critical,7.66,Withdrawn
164259,AAA,2013J,Medium,4.58,Pass
167906,AAA,2013J,Medium,4.52,Pass
168936,AAA,2013J,Medium,4.79,Pass
172112,AAA,2013J,Medium,4.39,Pass
172797,AAA,2013J,Medium,4.7,Pass
174782,AAA,2013J,Low,3.4,Pass
175392,AAA,2013J,Medium,3.8,Pass
175932,AAA,2013J,Medium,4.22,Pass
175991,AAA,2013J,Medium,5.35,Fail
180753,AAA,2013J,Medium,4.68,Pass
181316,AAA,2013J,Critical,7.69,Withdrawn
183096,AAA,2013J,Medium,4.69,Pass
183947,AAA,2013J,Medium,5.08,Pass
184271,AAA,2013J,Medium,4.46,Pass
185439,AAA,2013J,Medium,4.88,Fail
186149,AAA,2013J,Medium,4.36,Pass
187100,AAA,2013J,Low,3.27,Distinction
188278,AAA,2013J,High,7.49,Withdrawn
189879,AAA,2013J,Medium,4.2,Pass
192183,AAA,2013J,Medium,4.05,Pass
195262,AAA,2013J,Critical,7.98,Withdrawn
200860,AAA,2013J,Medium,4.91,Pass
202635,AAA,2013J,Critical,7.84,Withdrawn
205350,AAA,2013J,Medium,4.25,Pass
205719,AAA,2013J,Medium,5.11,Fail
227499,AAA,2013J,Medium,3.97,Distinction
227517,AAA,2013J,Medium,4.76,Fail
228082,AAA,2013J,Medium,4.66,Pass
228222,AAA,2013J,Medium,4.88,Pass
229179,AAA,2013J,Medium,4.85,Pass
229361,AAA,2013J,Medium,4.27,Pass
