id_student,code_module,code_presentation,risk_tier,dropout_risk_score,total_clicks,avg_score,submissions,active_days,num_of_prev_attempts,final_result
987203,DDD,2013B,Critical,9.88,122.0,0.0,0.0,15.0,6,Withdrawn
26677,BBB,2013J,Critical,9.87,0.0,0.0,0.0,0.0,4,Withdrawn
2587950,BBB,2013J,Critical,9.87,0.0,0.0,0.0,0.0,4,Withdrawn
2184026,BBB,2014B,Critical,9.86,13.0,0.0,0.0,3.0,5,Withdrawn
537221,BBB,2014J,Critical,9.8,0.0,0.0,0.0,0.0,3,Withdrawn
2383103,BBB,2013J,Critical,9.8,0.0,0.0,0.0,0.0,3,Withdrawn
54388,BBB,2013J,Critical,9.79,42.0,0.0,0.0,1.0,3,Withdrawn
409766,DDD,2013B,Critical,9.79,15.0,0.0,0.0,3.0,3,Withdrawn
2276893,BBB,2013J,Critical,9.76,3.0,0.0,0.0,1.0,5,Withdrawn
2410331,BBB,2014B,Critical,9.73,0.0,0.0,0.0,0.0,2,Withdrawn
260777,BBB,2014J,Critical,9.73,0.0,0.0,0.0,0.0,2,Withdrawn
119437,BBB,2014J,Critical,9.73,0.0,0.0,0.0,0.0,2,Withdrawn
296408,BBB,2013B,Critical,9.73,0.0,0.0,0.0,0.0,3,Withdrawn
353918,BBB,2013B,Critical,9.73,0.0,0.0,0.0,0.0,2,Withdrawn
440664,BBB,2014B,Critical,9.73,0.0,0.0,0.0,0.0,2,Withdrawn
276846,FFF,2013B,Critical,9.73,0.0,0.0,0.0,0.0,2,Withdrawn
112010,FFF,2013J,Critical,9.73,0.0,0.0,0.0,0.0,3,Withdrawn
434035,BBB,2013J,Critical,9.73,0.0,0.0,0.0,0.0,2,Withdrawn
312275,BBB,2014B,Critical,9.73,0.0,0.0,0.0,0.0,2,Withdrawn
230348,BBB,2013B,Critical,9.73,0.0,0.0,0.0,0.0,2,Withdrawn
389076,DDD,2014J,Critical,9.72,26.0,0.0,0.0,5.0,3,Withdrawn
413052,BBB,2013J,Critical,9.71,265.0,0.0,0.0,19.0,3,Withdrawn
306984,BBB,2013B,Critical,9.71,102.0,0.0,0.0,5.0,3,Withdrawn
371362,DDD,2013J,Critical,9.71,84.0,0.0,0.0,5.0,2,Withdrawn
392802,DDD,2014B,Critical,9.71,72.0,0.0,0.0,5.0,3,Withdrawn
2558536,DDD,2014B,Critical,9.71,76.0,0.0,0.0,5.0,2,Withdrawn
264601,DDD,2014J,Critical,9.7,0.0,0.0,0.0,0.0,3,Withdrawn
134721,DDD,2014B,Critical,9.7,90.0,0.0,0.0,9.0,2,Withdrawn
387276,BBB,2014J,Critical,9.7,0.0,0.0,0.0,0.0,4,Withdrawn
393529,BBB,2014J,Critical,9.7,0.0,0.0,0.0,0.0,3,Withdrawn
2642498,DDD,2013J,Critical,9.68,196.0,0.0,0.0,12.0,2,Withdrawn
480910,FFF,2013J,Critical,9.67,0.0,0.0,0.0,0.0,1,Withdrawn
475682,BBB,2013J,Critical,9.67,0.0,0.0,0.0,0.0,1,Withdrawn
539299,BBB,2013J,Critical,9.67,0.0,0.0,0.0,0.0,1,Withdrawn
439684,BBB,2013J,Critical,9.67,0.0,0.0,0.0,0.0,1,Withdrawn
2409808,BBB,2014B,Critical,9.67,0.0,0.0,0.0,0.0,4,Withdrawn
596693,FFF,2014J,Critical,9.67,0.0,0.0,0.0,0.0,1,Withdrawn
335765,BBB,2014J,Critical,9.67,0.0,0.0,0.0,0.0,1,Withdrawn
362907,BBB,2013J,Critical,9.67,0.0,0.0,0.0,0.0,2,Fail
363711,BBB,2013J,Critical,9.67,0.0,0.0,0.0,0.0,1,Withdrawn
486539,DDD,2014J,Critical,9.67,0.0,0.0,0.0,0.0,1,Withdrawn
2614271,BBB,2014J,Critical,9.67,0.0,0.0,0.0,0.0,1,Withdrawn
530215,BBB,2013B,Critical,9.67,0.0,0.0,0.0,0.0,1,Withdrawn
112010,FFF,2013B,Critical,9.67,0.0,0.0,0.0,0.0,2,Withdrawn
509295,BBB,2013B,Critical,9.67,0.0,0.0,0.0,0.0,1,Withdrawn
626151,DDD,2014J,Critical,9.67,0.0,0.0,0.0,0.0,1,Withdrawn
633016,BBB,2014J,Critical,9.67,0.0,0.0,0.0,0.0,1,Withdrawn
318289,FFF,2014J,Critical,9.67,0.0,0.0,0.0,0.0,2,Withdrawn
569556,FFF,2014J,Critical,9.67,358.0,0.0,0.0,18.0,2,Withdrawn
2509297,BBB,2014B,Critical,9.67,0.0,0.0,0.0,0.0,1,Withdrawn
572952,FFF,2014B,Critical,9.67,0.0,0.0,0.0,0.0,1,Withdrawn
504700,FFF,2014J,Critical,9.67,0.0,0.0,0.0,0.0,2,Withdrawn
259609,FFF,2013J,Critical,9.67,0.0,0.0,0.0,0.0,2,Withdrawn
562762,FFF,2014J,Critical,9.67,0.0,0.0,0.0,0.0,2,Withdrawn
529705,BBB,2014B,Critical,9.67,0.0,0.0,0.0,0.0,1,Withdrawn
76196,BBB,2014B,Critical,9.67,0.0,0.0,0.0,0.0,1,Withdrawn
474256,FFF,2013B,Critical,9.67,0.0,0.0,0.0,0.0,1,Withdrawn
561796,FFF,2014B,Critical,9.67,0.0,0.0,0.0,0.0,1,Withdrawn
542321,DDD,2013J,Critical,9.67,0.0,0.0,0.0,0.0,1,Withdrawn
372624,BBB,2013B,Critical,9.67,0.0,0.0,0.0,0.0,1,Withdrawn
493365,DDD,2013B,Critical,9.67,0.0,0.0,0.0,0.0,1,Withdrawn
1824428,FFF,2013B,Critical,9.67,0.0,0.0,0.0,0.0,1,Withdrawn
572987,BBB,2014B,Critical,9.67,0.0,0.0,0.0,0.0,1,Withdrawn
574748,BBB,2014B,Critical,9.67,0.0,0.0,0.0,0.0,1,Withdrawn
271702,FFF,2014J,Critical,9.67,0.0,0.0,0.0,0.0,2,Withdrawn
529277,FFF,2013B,Critical,9.67,0.0,0.0,0.0,0.0,1,Withdrawn
584952,DDD,2014B,Critical,9.67,0.0,0.0,0.0,0.0,1,Withdrawn
356535,FFF,2014B,Critical,9.67,0.0,0.0,0.0,0.0,2,Withdrawn
2367887,DDD,2013J,Critical,9.67,0.0,0.0,0.0,0.0,1,Withdrawn
2539817,BBB,2013J,Critical,9.67,0.0,0.0,0.0,0.0,1,Withdrawn
517112,BBB,2014J,Critical,9.67,0.0,0.0,0.0,0.0,1,Withdrawn
596423,EEE,2014J,Critical,9.67,0.0,0.0,0.0,0.0,1,Withdrawn
539657,BBB,2014J,Critical,9.67,0.0,0.0,0.0,0.0,1,Withdrawn
532142,BBB,2013B,Critical,9.66,26.0,0.0,0.0,2.0,1,Withdrawn
160720,FFF,2013J,Critical,9.66,9.0,0.0,0.0,3.0,1,Withdrawn
523777,FFF,2013J,Critical,9.66,5.0,0.0,0.0,1.0,1,Fail
2652066,DDD,2013B,Critical,9.66,3.0,0.0,0.0,1.0,1,Withdrawn
509177,FFF,2014J,Critical,9.66,1.0,0.0,0.0,1.0,2,Withdrawn
247940,FFF,2013B,Critical,9.66,175.0,0.0,0.0,10.0,3,Withdrawn
548851,DDD,2014J,Critical,9.66,16.0,0.0,0.0,1.0,1,Withdrawn
505244,FFF,2013B,Critical,9.66,13.0,0.0,0.0,2.0,1,Withdrawn
526356,FFF,2013B,Critical,9.66,11.0,0.0,0.0,4.0,1,Withdrawn
412754,DDD,2013B,Critical,9.66,1.0,0.0,0.0,1.0,2,Withdrawn
389076,DDD,2013B,Critical,9.66,65.0,0.0,0.0,1.0,2,Withdrawn
376067,DDD,2013J,Critical,9.66,4.0,0.0,0.0,3.0,2,Withdrawn
484754,DDD,2013B,Critical,9.66,16.0,0.0,0.0,1.0,1,Withdrawn
366836,FFF,2013B,Critical,9.65,117.0,0.0,0.0,4.0,1,Withdrawn
497139,FFF,2013B,Critical,9.65,56.0,0.0,0.0,6.0,1,Withdrawn
371810,FFF,2013B,Critical,9.65,87.0,0.0,0.0,5.0,1,Withdrawn
569556,FFF,2014B,Critical,9.65,62.0,0.0,0.0,5.0,1,Withdrawn
584843,FFF,2014B,Critical,9.65,77.0,0.0,0.0,4.0,1,Withdrawn
527343,BBB,2013B,Critical,9.65,30.0,0.0,0.0,6.0,1,Withdrawn
583179,BBB,2014J,Critical,9.65,48.0,0.0,0.0,3.0,1,Withdrawn
421877,DDD,2014B,Critical,9.64,56.0,0.0,0.0,8.0,1,Withdrawn
155735,BBB,2013B,Critical,9.64,133.0,0.0,0.0,5.0,1,Withdrawn
588954,DDD,2014J,Critical,9.64,29.0,0.0,0.0,7.0,1,Withdrawn
387276,BBB,2014B,Critical,9.63,0.0,0.0,0.0,0.0,3,Withdrawn
466430,EEE,2014J,Critical,9.63,0.0,0.0,0.0,0.0,2,Withdrawn
305547,BBB,2013J,Critical,9.63,0.0,0.0,0.0,0.0,2,Withdrawn
282161,BBB,2014B,Critical,9.63,0.0,0.0,0.0,0.0,3,Withdrawn
2692381,BBB,2013B,Critical,9.63,0.0,0.0,0.0,0.0,3,Withdrawn
324319,BBB,2013J,Critical,9.63,49.0,0.0,0.0,11.0,3,Withdrawn
2276854,BBB,2014J,Critical,9.63,19.0,1.0,1.0,6.0,3,Withdrawn
228235,BBB,2014J,Critical,9.63,0.0,0.0,0.0,0.0,2,Withdrawn
524232,FFF,2013J,Critical,9.63,181.0,0.0,0.0,11.0,1,Withdrawn
516447,BBB,2013J,Critical,9.63,1.0,0.0,0.0,1.0,2,Withdrawn
604490,EEE,2014B,Critical,9.63,144.0,0.0,0.0,10.0,1,Withdrawn
397763,BBB,2013B,Critical,9.62,158.0,0.0,0.0,8.0,1,Withdrawn
301036,DDD,2014J,Critical,9.62,5.0,0.0,0.0,5.0,3,Withdrawn
606501,BBB,2014B,Critical,9.62,9.0,0.0,1.0,3.0,1,Withdrawn
395010,FFF,2013B,Critical,9.61,109.0,0.0,0.0,8.0,2,Withdrawn
395164,DDD,2014B,Critical,9.61,151.0,0.0,0.0,14.0,2,Withdrawn
516222,FFF,2013B,Critical,9.61,362.0,0.0,0.0,16.0,1,Withdrawn
491688,DDD,2014J,Critical,9.61,73.0,0.0,0.0,4.0,2,Withdrawn
505826,FFF,2014B,Critical,9.61,224.0,0.0,0.0,17.0,2,Withdrawn
547267,FFF,2013B,Critical,9.6,0.0,0.0,0.0,0.0,0,Withdrawn
625774,EEE,2014B,Critical,9.6,0.0,0.0,0.0,0.0,0,Withdrawn
629234,EEE,2014B,Critical,9.6,0.0,0.0,0.0,0.0,0,Withdrawn
1863564,EEE,2014B,Critical,9.6,0.0,0.0,0.0,0.0,0,Withdrawn
546114,BBB,2014J,Critical,9.6,0.0,0.0,0.0,0.0,0,Withdrawn
623111,EEE,2014B,Critical,9.6,0.0,0.0,0.0,0.0,0,Withdrawn
621675,FFF,2014B,Critical,9.6,0.0,0.0,0.0,0.0,0,Withdrawn
622239,FFF,2014B,Critical,9.6,0.0,0.0,0.0,0.0,0,Withdrawn
602971,BBB,2013J,Critical,9.6,0.0,0.0,0.0,0.0,0,Withdrawn
603516,BBB,2013J,Critical,9.6,0.0,0.0,0.0,0.0,0,Withdrawn
624243,FFF,2014B,Critical,9.6,0.0,0.0,0.0,0.0,0,Withdrawn
695143,GGG,2014J,Critical,9.6,5.0,0.0,0.0,1.0,0,Withdrawn
343427,DDD,2013B,Critical,9.6,0.0,0.0,0.0,0.0,0,Withdrawn
606972,BBB,2013J,Critical,9.6,3.0,0.0,0.0,1.0,0,Withdrawn
562758,DDD,2013J,Critical,9.6,0.0,0.0,0.0,0.0,0,Withdrawn
232600,BBB,2013B,Critical,9.6,0.0,0.0,0.0,0.0,2,Withdrawn
646077,CCC,2014J,Critical,9.6,2.0,0.0,0.0,1.0,0,Withdrawn
552192,DDD,2013J,Critical,9.6,10.0,0.0,0.0,1.0,1,Withdrawn
316454,EEE,2014J,Critical,9.6,0.0,0.0,0.0,0.0,0,Withdrawn
592756,BBB,2013J,Critical,9.6,0.0,0.0,0.0,0.0,0,Withdrawn
288717,BBB,2014B,Critical,9.6,0.0,0.0,0.0,0.0,1,Withdrawn
504700,FFF,2014B,Critical,9.6,2.0,0.0,0.0,1.0,1,Withdrawn
513796,FFF,2014B,Critical,9.6,0.0,0.0,0.0,0.0,1,Withdrawn
684502,BBB,2014J,Critical,9.6,0.0,0.0,0.0,0.0,0,Withdrawn
685506,BBB,2014J,Critical,9.6,0.0,0.0,0.0,0.0,0,Withdrawn
683338,BBB,2014J,Critical,9.6,0.0,0.0,0.0,0.0,0,Withdrawn
243047,BBB,2013J,Critical,9.6,0.0,0.0,0.0,0.0,0,Withdrawn
689628,BBB,2014J,Critical,9.6,0.0,0.0,0.0,0.0,0,Withdrawn
680816,BBB,2014J,Critical,9.6,0.0,0.0,0.0,0.0,0,Withdrawn
648546,FFF,2014J,Critical,9.6,0.0,0.0,0.0,0.0,0,Withdrawn
648650,FFF,2014J,Critical,9.6,0.0,0.0,0.0,0.0,0,Withdrawn
652315,BBB,2014J,Critical,9.6,0.0,0.0,0.0,0.0,0,Withdrawn
652584,BBB,2014J,Critical,9.6,0.0,0.0,0.0,0.0,0,Withdrawn
651520,BBB,2014J,Critical,9.6,0.0,0.0,0.0,0.0,0,Withdrawn
652006,BBB,2014J,Critical,9.6,0.0,0.0,0.0,0.0,0,Withdrawn
299561,BBB,2013J,Critical,9.6,0.0,0.0,0.0,0.0,2,Withdrawn
351767,BBB,2014B,Critical,9.6,0.0,0.0,0.0,0.0,1,Withdrawn
442819,FFF,2014B,Critical,9.6,0.0,0.0,0.0,0.0,0,Withdrawn
591461,BBB,2013J,Critical,9.6,0.0,0.0,0.0,0.0,0,Withdrawn
562096,DDD,2013J,Critical,9.6,0.0,0.0,0.0,0.0,0,Withdrawn
562287,DDD,2013J,Critical,9.6,0.0,0.0,0.0,0.0,0,Withdrawn
594079,DDD,2013J,Critical,9.6,0.0,0.0,0.0,0.0,0,Withdrawn
602997,GGG,2014B,Critical,9.6,0.0,0.0,0.0,0.0,1,Withdrawn
607738,GGG,2014B,Critical,9.6,0.0,0.0,0.0,0.0,0,Withdrawn
588191,BBB,2013J,Critical,9.6,0.0,0.0,0.0,0.0,0,Withdrawn
588205,BBB,2013J,Critical,9.6,0.0,0.0,0.0,0.0,0,Withdrawn
232745,BBB,2013B,Critical,9.6,0.0,0.0,0.0,0.0,0,Withdrawn
648477,CCC,2014J,Critical,9.6,0.0,0.0,0.0,0.0,0,Withdrawn
514934,DDD,2013J,Critical,9.6,16.0,0.0,0.0,1.0,0,Withdrawn
377929,BBB,2014B,Critical,9.6,0.0,0.0,0.0,0.0,0,Withdrawn
568580,DDD,2013J,Critical,9.6,0.0,0.0,0.0,0.0,0,Withdrawn
572089,DDD,2013J,Critical,9.6,0.0,0.0,0.0,0.0,0,Withdrawn
291701,BBB,2013B,Critical,9.6,0.0,0.0,0.0,0.0,0,Withdrawn
305307,BBB,2014B,Critical,9.6,0.0,0.0,0.0,0.0,0,Withdrawn
596245,CCC,2014J,Critical,9.6,0.0,0.0,0.0,0.0,0,Withdrawn
586536,DDD,2013J,Critical,9.6,0.0,0.0,0.0,0.0,0,Withdrawn
514605,FFF,2013B,Critical,9.6,0.0,0.0,0.0,0.0,1,Withdrawn
652569,FFF,2014J,Critical,9.6,0.0,0.0,0.0,0.0,0,Withdrawn
