npi,specialty,anomaly_score,severity,is_anomaly
1003000126,Hospitalist,0.418,Normal,False
1003000134,Pathology,0.249,Normal,False
1003000142,Anesthesiology,0.975,Normal,False
1003000423,Obstetrics & Gynecology,0.587,Normal,False
1003000480,General Surgery,0.2,Normal,False
1003000530,Internal Medicine,0.404,Normal,False
1003000597,Urology,0.28,Normal,False
1003000639,Cardiac Surgery,0.516,Normal,False
1003000704,Anesthesiology,0.539,Normal,False
1003000720,Nurse Practitioner,0.296,Normal,False
1003000738,Physician Assistant,0.255,Normal,False
1003000795,Licensed Clinical Social Worker,0.632,Normal,False
1003000829,Physical Therapist in Private Practice,0.469,Normal,False
1003000902,Family Practice,0.208,Normal,False
1003000936,Cardiology,0.313,Normal,False
1003001041,Certified Registered Nurse Anesthetist (CRNA),1.394,Normal,True
1003001140,Physical Therapist in Private Practice,0.395,Normal,False
1003001249,Physical Therapist in Private Practice,0.24,Normal,False
1003001256,Family Practice,0.602,Normal,False
1003001298,Optometry,0.408,Normal,False
1003001322,Mass Immunizer Roster Biller,0.285,Normal,False
1003001363,Pain Management,0.552,Normal,False
1003001371,Physical Medicine and Rehabilitation,1.434,Normal,True
1003001462,Radiation Oncology,0.313,Normal,False
1003001595,Speech Language Pathologist,0.98,Normal,False
1003001645,Infectious Disease,0.463,Normal,False
1003001678,Nurse Practitioner,0.329,Normal,False
1003001785,Orthopedic Surgery,0.461,Normal,False
1003001918,Physical Therapist in Private Practice,0.759,Normal,False
1003001975,Physical Therapist in Private Practice,0.592,Normal,False
1003001983,Physical Therapist in Private Practice,2.803,Medium,True
1003002049,Endocrinology,0.705,Normal,False
1003002072,Urology,0.275,Normal,False
1003002098,Chiropractic,0.318,Normal,False
1003002106,Psychiatry,0.383,Normal,False
1003002148,Diagnostic Radiology,0.504,Normal,False
1003002205,Certified Registered Nurse Anesthetist (CRNA),4.776,Critical,True
1003002254,Centralized Flu,1.548,Normal,False
1003002312,Rheumatology,1.096,Normal,False
1003002379,Internal Medicine,0.312,Normal,False
1003002486,Chiropractic,0.176,Normal,False
1003002627,Obstetrics & Gynecology,0.867,Normal,False
1003002643,Physician Assistant,0.345,Normal,False
1003002726,Licensed Clinical Social Worker,0.499,Normal,False
1003002742,Physical Medicine and Rehabilitation,0.3,Normal,False
1003002783,Diagnostic Radiology,0.401,Normal,False
1003002809,Diagnostic Radiology,1.861,Normal,True
1003002841,Neurology,0.293,Normal,False
1003002890,Orthopedic Surgery,0.382,Normal,False
1003002932,Emergency Medicine,0.649,Normal,False
1003003021,Physical Therapist in Private Practice,0.597,Normal,False
1003003070,Neurology,0.104,Normal,False
1003003088,Physical Therapist in Private Practice,0.184,Normal,False
1003003153,Dermatology,0.319,Normal,False
1003003161,Physical Therapist in Private Practice,1.033,Normal,False
1003003609,Nephrology,0.231,Normal,False
1003003856,Family Practice,0.555,Normal,False
1003003963,Emergency Medicine,0.348,Normal,False
1003004151,Physician Assistant,0.38,Normal,False
1003004185,Physician Assistant,0.38,Normal,False
1003004201,Internal Medicine,0.35,Normal,False
1003004540,Ophthalmology,0.496,Normal,False
1003004771,Critical Care (Intensivists),0.798,Normal,False
1003004904,Pharmacy,0.194,Normal,False
1003004938,Mass Immunizer Roster Biller,0.383,Normal,False
1003005018,Chiropractic,0.248,Normal,False
1003005059,Mass Immunizer Roster Biller,0.092,Normal,False
1003005257,Pathology,0.179,Normal,False
1003005372,Physical Medicine and Rehabilitation,0.72,Normal,False
1003005430,"Psychologist, Clinical",0.289,Normal,False
1003005729,Physician Assistant,0.476,Normal,False
1003005836,Internal Medicine,0.257,Normal,False
1003006107,Cardiology,0.306,Normal,False
1003006115,Physician Assistant,0.479,Normal,False
1003006149,Family Practice,0.393,Normal,False
1003006172,Infectious Disease,0.543,Normal,False
1003006180,Ambulance Service Provider,0.166,Normal,False
1003006198,Neurology,0.175,Normal,False
1003006396,Nurse Practitioner,0.128,Normal,False
1003006503,Internal Medicine,0.164,Normal,False
1003006552,Family Practice,0.356,Normal,False
1003006586,Internal Medicine,0.302,Normal,False
1003006602,Plastic and Reconstructive Surgery,0.688,Normal,False
1003006610,Nurse Practitioner,0.248,Normal,False
1003006636,Diagnostic Radiology,0.381,Normal,False
1003006651,Obstetrics & Gynecology,0.223,Normal,False
1003006727,Anesthesiology,0.289,Normal,False
1003006768,Hospice and Palliative Care,0.568,Normal,False
1003006958,Physician Assistant,0.202,Normal,False
1003007022,Internal Medicine,0.216,Normal,False
1003007048,Family Practice,0.537,Normal,False
1003007055,Physical Medicine and Rehabilitation,0.715,Normal,False
1003007170,Cardiology,0.222,Normal,False
1003007204,Cardiology,0.473,Normal,False
1003007295,Family Practice,0.317,Normal,False
1003007311,Physician Assistant,0.257,Normal,False
1003007345,Psychiatry,0.512,Normal,False
1003007360,Anesthesiology,0.2,Normal,False
1003007386,Centralized Flu,0.391,Normal,False
1003007469,Pain Management,1.096,Normal,False
1003007477,Nurse Practitioner,0.204,Normal,False
1003007592,Physician Assistant,0.152,Normal,False
1003007683,Emergency Medicine,0.672,Normal,False
1003007782,Physician Assistant,0.262,Normal,False
1003007816,Ophthalmology,0.248,Normal,False
1003007907,Pulmonary Disease,0.304,Normal,False
1003007964,Physician Assistant,0.51,Normal,False
1003007980,Interventional Cardiology,0.287,Normal,False
1003008038,Physician Assistant,0.195,Normal,False
1003008095,Nurse Practitioner,0.151,Normal,False
1003008111,Obstetrics & Gynecology,0.185,Normal,False
1003008244,Gastroenterology,0.423,Normal,False
1003008269,Anesthesiology,0.414,Normal,False
1003008517,Diagnostic Radiology,0.542,Normal,False
1003008525,Physical Therapist in Private Practice,0.665,Normal,False
1003008533,Neurology,0.714,Normal,False
